Crash_ID,Damaged_Property
16180165,BLACK WROUGHT IRON FENCE
16180169,GAURD RAIL IN 9700 BLOCK ON RAMP
16180173,UTILITY POLE  278610
16180174,"BUISNESS STRIP, 4 TOTAL"
16180175,FIRE HYDRANT
16180177,JERSEY BARRIER
16180843,BACKYARD FENCE WAS DESTROYED
16180845,ROAD SIGN
16182453,PEDESTRIAN CROSSWALK POLE
16182707,"BICYCLE RACK, PARKING SIGN, STONE WALL"
16185858,POWER POLE
16185858,STOP SIGN
16186066,FENCE
16186129,CONVENIENCE STORE
16186162,GUARDRAIL DAMAGE
16186174,ELETRICAL POLE
16186182,CITY LIGHT POLE
16186199,FENCE KNOCKED DOWN
16186221,STREET ISLAND WARNING SIGN
16189173,PARKING BOLLARD
16190235,METAL FENCE
16190237,FRONT LAWN DAMAGE
16194252,MEETAL AND CONCRETE GUARD RAIL
16194256,DAMAGED FENCE. 3366820070
16194265,DAMAGE TO UTILITY POLE # 248709
16194266,POWER POLE WITH TRANSFORMER
16194410,FIRE HYDRANT
16194528,GUARDRAIL & SIGN
16194533,CONRETE BARRIER/DIVIDER
16194577,FRONTAGE ROAD GUARD RAIL
16200493,"2 BRIDGE PILLARS (CHIPPED, SCRAPED)"
16201037,PARKED TRAILER
16201043,TRAFFIC SIGNAL POLE
16201050,WOODEN FENCE
16201050,"BRICK WALL, FIRE HYDRANT"
16201276,SIGN POST
16201341,CONSTRUCTION SIGN
16201341,CONCRETE BARRIER
16201450,BUILDING AND MERCHANDISE
16201470,MILE MARKERS
16201497,SUSPENSION CABLE OF TELOPHONE DAMAGED
16201504,KNOCKED DOWN POLE NUMBER 392721
16201507,METAL LIGHT POLE
16201553,GUARD RAIL
16201554,YIELD SIGN & POLE
16201574,HIGHWAY SIGN
16201595,GUARDRAIL
16201604,CONCRETE WALL
16201616,CROSS WALK INDICATOR
16201623,CONCRETE WALL
16201638,CONCRETE BARRIER DAMAGE DUE TO VEH
16201655,TWO BENCHES
16202122,GUARD RAIL
16203892,STOP SIGN.
16205658,FENCING AROUND VEHICLES ON PROPERTY
16205668,GUARDRAIL
16205669,UNIT 1 HIT A FENCE AND MAIL BOX
16205700,LIGHT POLE #335910
16205700,FRONT YARD LANDSCAPING.
16205712,WALL ADAJACENT TO SIDEWALK
16205714,STREET SIGN
16205715,CHAIN LINK FENCE X 2 POST
16205745,CROSSWALK SIGNAL POST
16205749,POWER LINE POLE
16205778,SCHOOL ZONE SPEED LIMIT SIGN
16209335,METAL FENCE POST
16209426,CROSSWALK POLE
16209426,STREET SIGN
16209481,LIGHT POLE
16209494,GAURD RAIL
16211780,INTERIOR WALL
16211780,EXTERIOR WALL
16211787,STREET LIGHT
16212330,TRAFFIC LIGHT CONTROL BOX
16212330,FIRE HYDRANT DISPLACEMENT
16212851,FENCE
16212874,FIRE HYDRANT
16215746,SUNBELT RENTALS
16215790,TREK BIKE
16215796,FIRE HYDRANT
16217138,1 ONE-WAY SIGN
16221075,NONE
16221155,TREE
16221158,UTILITY POLE 210146
16221162,WOODEN FENCE
16221173,1105 CLAYTON LN
16221174,30 FEET OF GUARD RAIL
16221217,ELECTRIC UTILITY POLE #310988
16221221,TELEPHONE POLL #257393
16221221,TREE
16221223,LIGHT POLE
16221247,LANDSCAPE TREES AND LIGHT POLE
16221251,FIRE PLUG
16221252,LIGHT/ UTILITY POLE #382743
16221436,STOP SIGN
16221438,UTILITY POLE
16221440,SCHOOL ZONE CROSSING LIGHT
16221449,YELLOW SCHOOL AHEAD SIGN.
16221537,CAR PORT
16228769,CONSTRUCTION FENCE
16228866,FENCE
16228866,ROAD SIGN
16228879,STOP LIGHT POLE
16228881,TRAFFIC PYLON
16228943,PROPERTY FENCE
16228945,TX DOT GUARD RAIL
16228947,PARKING LOT LIGHT POLE W CONCRERE BASE
16228951,BRIDGE SUPPORT PILLER
16228954,STONE MAILBOX AND GRASS
16229007,WOODEN UTILITY POLE 216747
16229030,WATER BARRIER
16229096,TREE BETWEEN CITY/OWNER'S LAND
16229216,LIGHT POLE AND 4 SUPPORT BEAMS OF GUARDR
16229301,BRICK MAILBOX
16233099,GUARDRAIL
16233105,AT&T UTILITY BOX (BOX# XR0929)
16233105,TELEPHONE POLE
16233117,LIGHT POLE (RF03628)
16233117,APARTMENT SIGNS/FENCE
16233153,LIGHT POLE #281133
16233171,4325 BANISTER LN'S WOOD FENCE
16233286,HONDA MOTORCYCLE
16233288,GUARDRAIL
16233363,ATTEMPTED CONTACT - NO ANSWER
16233363,AUSTIN ALE HOUSE EATERY
16233364,ROOF/CEILING OF HOUSE
16233364,CAP METRO BUS STOP
16233375,MOVED ROCKS
16233418,CONCRETE PILLAR (BRIDGE SUPPORT)
16233418,5FT METAL POLE WITH CHAIN
16233434,6109 COUGAR DR
16235309,ONE WAY SIGN
16235438,CAPITAL METRO RAILROAD PROPERTY
16235447,TREE
16235447,ATTACHED SHED
16235464,TELEPHONE POLE
16235651,"285709 POLE NUMBER, DAMAGED METAL FENCE"
16235652,FIRE HYDRANT
16235652,TRASH CAN
16237235,WRONG WAY SIGN POLE
16237605,FENCE AT 9901 CHILDRESS DR
16237605,BRICK MAILBOX 9900 CHILDRESS DR
16240829,TEXACO SIGN DISPLAYING GAS PRICES
16240864,NONE
16240877,FENCE
16240920,BICYCLE
16240927,BRICK SUPPORT POLE
16240937,LIGHT POLE #337521
16244443,"THE FENCE WAS KNOCKED DOWN AND BROKEN,"
16244662,"30' WOOD FENCE, PKING LOT LIGHT, MAILBOX"
16244749,METAL GUARDRAIL AND WOOD POSTS
16245073,2 DRAINAGE DITCH MARKERS
16245075,TRAFFIC LIGHT POLE
16245089,GUARDRAIL DAMAGE APROX 50FT
16245097,GUARDRAIL
16245211,CITY LIGHT POLE. NO NUMBER
16245212,CONCRETE DIVIDER
16245213,BUSINESS SIGN
16245220,GUARDRAIL - APPROX 5 FEET
16245224,PARKING SIGN AND LANDSCAPING
16245225,FIRE HYDRANT
16247112,TRAILER
16247112,CREPE MYRTLE
16249197,SIDE OF BUILDING SCRAPED
16249197,TREE RAN OVER
16249304,LAMP POST #381055
16250113,"SINGLE POLE, WALK BUTTON TORN OFF"
16251739,DAMAGE TO LIGHT POLE 394044
16252509,20FT GUARD RAIL DAMAGE
16252527,WODDEN BUILDERS SIGN
16252586,LIGHT POLE
16252630,HIGHWAY SIGN
16257886,RESIDENCE
16257886,RESIDENCE
16257963,IRRIGATION LINE AND LANDSCAPING
16257989,POLE #364310
16258263,WOODEN FENCE
16258430,50 FEET OF CHAIN-LINK FENCE
16258430,ORANGE CONEX STORAGE CONTAINER
16259595,RESIDENCE HOME
16259663,METAL GUARD RAIL
16259663,UTILITY METAL POLE #388729
16262503,UTILITY POLE CITY OF AUSTIN #231961
16262674,GUARD RAIL
16262678,10 FEET OF GUARD RAIL W/ PYLON
16262682,UTILITY POLE
16262759,BUILDING SOUTH FACING WALL
16264874,GUARDRAIL
16264881,SAFETY GUARD RAIL
16264902,LANDSCAPE
16264903,DAMAGE TO NEIGHBORHOOD SIGN.
16264908,LIGHT POLE
16264937,CABLE AND METAL POLES
16267883,TXDOT SIGN FOR LOOP 1 AND 2244 RR
16268003,BRICK KNEE WALL
