Crash_ID,Unit_Nbr,Prsn_Nbr,Charge_Cat_ID,Charge,Citation_Nbr
14842077,1,1,,DWI,150010732
14842077,2,1,,NO CHARGES,
14842077,2,2,,NO CHARGES,
14842077,2,3,,NO CHARGES,
14842077,2,4,,NO CHARGES,
14842077,2,5,,NO CHARGES,
14842077,2,6,,NO CHARGES,
14842078,1,1,,DWI,
14842078,2,1,,NO CHARGES,
14842079,1,1,,NO CHARGES,
14842079,1,2,,NO CHARGES,
14842079,1,3,,NO CHARGES,
14842080,1,1,,NO CHARGES,
14842081,1,1,,POSSESSION OF CONTROLLED SUBSTANCE,
14842081,1,1,,DWI,
14842082,1,1,,NO CHARGES,
14842082,2,1,,NO CHARGES,
14842083,1,1,,RAN RED LIGHT,15293081
14842083,2,1,,NO CHARGES,
14842083,2,2,,NO CHARGES,
14842084,1,1,,NO CHARGES,
14842084,1,2,,NO CHARGES,
14842084,2,1,,NO CHARGES,
14842084,2,2,,NO CHARGES,
14842085,1,1,,NO CHARGES,
14842086,1,1,,DWI/POCS,
14842122,1,1,,"UNSAFE MOVEMENT - RIGHT, NO DRIVER LICENSE",14085832
14842122,2,1,,NO CHARGES,
14842122,2,2,,NO CHARGES,
14842123,1,1,,FAIL TO MAINTAIN ASSURED CLEAR DISTANCE,14151068
14842123,2,1,,FAILURE TO MAINTAIN FINANCIAL RESPONSIBILITY,14151069
14842123,2,2,,NO CHARGES,
14842124,1,1,,NO CHARGES,
14842125,1,1,,NO CHARGES,
14842126,1,1,,NO CHARGES,
14842127,1,1,,FTMFR / FTMACD / OPEN CONTAINER (ALL WARNINGS),15299056
14842127,1,1,,DWI,WARRANT
14842127,1,2,,NO CHARGES,
14842127,1,3,,NO CHARGES,
14842127,2,1,,NO CHARGES,
14842127,2,2,,NO CHARGES,
14842128,1,1,,NO CHARGES,
14842128,2,1,,NO DRIVERS LICENSE,14155773
14842128,3,1,,NO DRIVERS LICENSE,14187187
14842129,1,1,,NO CHARGES,
14842130,1,1,,FAIL TO YIELD ROW-LEFT TURN,14150236
14842130,2,1,,NO CHARGES,
14842130,2,2,,NO CHARGES,
14842131,1,1,,NO DL,
14842131,2,1,,NO CHARGES,
14842133,1,1,,FOLLOWED TOO CLOSELY-COLLISION,15439652
14842133,2,1,,NO CHARGES,
14842133,2,2,,NO CHARGES,
14842133,3,1,,NO CHARGES,
14842134,1,1,,FTYROW- LEFT TURN PRIVATE DRIVE,15439105
14842134,2,1,,NO CHARGES,
14842135,1,1,,RAN STOP SIGN,15220250
14842135,1,1,,NO DRIVERS LICENSE,15220250
14842135,2,1,,NO CHARGES,
14842136,1,1,,FAIL TO MAINTAIN ASSURE CLR. DISTANCE,15116495
14842136,1,2,,NO CHARGES,
14842136,1,3,,NO CHARGES,
14842136,1,4,,NO CHARGES,
14842136,2,1,,NO CHARGES,
14842136,2,2,,NO CHARGES,
14842136,3,1,,NO CHARGES,
14842136,3,2,,NO CHARGES,
14842136,3,3,,NO CHARGES,
14842136,3,4,,NO CHARGES,
14842136,3,5,,NO CHARGES,
14842136,3,6,,NO CHARGES,
14842136,3,7,,NO CHARGES,
14842137,1,1,,FTMACD,15381532
14842137,2,1,,NO CHARGES,
14842138,1,1,,FAILED TO YIELD - LEFT TURN INTERSECTION,15070979
14842138,2,1,,NO CHARGES,
14842139,1,1,,NO DRIVER LICENSE,15277603
14842139,1,1,,DISREGARD POSTED SIGN,15277603
14842139,2,1,,NO CHARGES,
14842140,1,1,,UNSAFE SPEED (WEATHER CONDITIONS),14154895
14842140,2,1,,NO CHARGES,
14842141,1,1,,NO CHARGES,
14842141,1,2,,NO CHARGES,
14842141,1,3,,NO CHARGES,
14842141,2,1,,NO CHARGES,
14842141,2,2,,NO CHARGES,
14842142,1,1,,FAIL TO MAINTAIN ASSURED CLEAR DISTANCE,14090279
14842142,1,1,,NO DRIVERS LICENSE,14090279
14842142,2,1,,NO CHARGES,
14842142,2,2,,NO CHARGES,
14842142,2,3,,NO CHARGES,
14842143,1,1,,FTMFR,1526767
14842143,2,1,,NO CHARGES,
14842143,2,2,,NO CHARGES,
14842143,2,3,,NO CHARGES,
14842144,1,1,,FTMACD,
14842144,1,1,,NO DL,
14842144,2,1,,NO CHARGES,
14842144,2,2,,NO CHARGES,
14842144,2,3,,NO CHARGES,
14842144,2,4,,NO CHARGES,
14842144,2,5,,NO CHARGES,
14842145,1,1,,NO CHARGES,
14842146,1,1,,NO DRIVERS LICENSE,14176445
14842146,2,1,,NO CHARGES,
14842147,1,1,,NO CHARGES,
14842182,1,1,,FAILURE TO MAINTAIN FINANCIAL RESPONSIBILITY,14087531
14842182,2,1,,NO CHARGES,
14842182,2,2,,NO CHARGES,
14842183,1,1,,DWI,
14842183,2,1,,NO CHARGES,
14842184,1,1,,NO CHARGES,
14842185,1,1,,"DWI, LEAVING THE SCENE OF A COLLISION",BOOKED IN JAIL
14842185,2,1,,NO CHARGES,
14842185,2,2,,NO CHARGES,
14842185,2,3,,NO CHARGES,
14842185,2,4,,NO CHARGES,
14842185,3,1,,NO CHARGES,
14842185,4,1,,NO CHARGES,
14842185,4,2,,NO CHARGES,
14842186,1,1,,NO CHARGES,
14842187,1,1,,FOLLOWING TO CLOSE-COLLISION,15297598
14842187,2,1,,NO CHARGES,
14842188,1,1,,NO CHARGES,
14842188,1,2,,NO CHARGES,
14842188,2,1,,NO CHARGES,
14842189,1,1,,NO CHARGES,
14842189,1,2,,NO CHARGES,
14842189,2,1,,NO CHARGES,
14842189,2,2,,NO CHARGES,
14842189,3,1,,NO CHARGES,
14842189,4,1,,NO CHARGES,
14842189,5,1,,AMC DRIVING WHILE LICENSE INVALID - SUSPENDED,15186102
14842189,5,1,,AMC NO SEAT BELT - CHILD UNDER 8,15186102
14842189,5,1,,AMC FAILED TO MAINTAIN ASSURED CLEAR DISTANCE,15186102
14842189,5,2,,NO CHARGES,
14842189,5,3,,NO CHARGES,
14842189,5,4,,NO CHARGES,
14842190,1,1,,NO CHARGES,
14842190,2,1,,DWI,160020742
14842190,2,2,,NO CHARGES,
14842191,1,1,,FAIL TO ASSURED CLEAR DISTANCE,14151070
14842191,2,1,,NO CHARGES,
14842192,1,1,,DWI,WARRANT
14842192,1,2,,NO CHARGES,
14842193,1,1,,NO CHARGES,
14842193,2,1,,NO CHARGES,
14842194,1,1,,NO CHARGES,
14842195,1,1,,DWI,160030361
14842196,1,1,,NO DRIVERS LICENSE,14181514
14842196,1,2,,NO CHARGES,
14842196,1,3,,NO CHARGES,
14842196,1,4,,NO CHARGES,
14842197,1,1,,FAILURE TO YIELD RIGHT OF WAY-LEFT TURN,13224016
14842197,2,1,,NO CHARGES,
14842197,2,2,,NO CHARGES,
14842197,2,3,,NO CHARGES,
14842197,2,4,,NO CHARGES,
14842198,1,1,,NO CHARGES,
14842198,2,1,,NO CHARGES,
14842200,1,1,,NO CHARGES,
14842200,1,2,,NO CHARGES,
14842201,1,1,,FAIL TO MAINTAIN ASSURED CLEAR DISTANCE,14166551
14842201,1,2,,NO CHARGES,
14842201,1,3,,NO CHARGES,
14842201,2,1,,NO CHARGES,
14842202,1,1,,NO CHARGES,
14842202,2,1,,NO CHARGES,
14842203,1,1,,AMC FOLLOWING TOO CLOSELY - COLLISION,15439653
14842203,1,2,,NO CHARGES,
14842203,2,1,,NO CHARGES,
