Crash_ID,Damaged_Property
14842078,FRONT GATE KNOCKED OFF TRACK.
14842080,METAL FENCING
14842081,ELECTRICAL/TELECOMUNICATIONS POLE
14842085,ELECTRICAL BOX STRUCK BY VEHICLE
14842086,AT&T CABLE BOX
14842125,4508 CHESNEY RIDGE DR WALL
14842126,LIGHT POLE #259318
14842129,FENCE
14842191,CABLE BARRIER
14842192,POWER POLE 22521
14842192,GROOVES IN SIDEWALK / CURB
14842197,LANDSCAPING SIGN
14844415,GUARDRAIL DAMAGE
14844463,CROSSWALK SIGNAL
14848767,GUARDRAIL DAMAGE GREATER THAN $200
14848797,SERVICE SIGN KNOCKED DOWN
14848806,PARKED TRAILER
14848865,GUARDRAIL
14848875,FENCE
14848882,"20 ' METAL GUARD RAIL, NO LEFT TURN SIGN"
14848926,WOODEN FENCE
14850150,NONE
14850171,REFLECTIVE TURN ARROW
14850773,YARD DAMAGE
14850786,SIGNAL LIGHT POLE
14857134,ELECTRICAL POLE 399871
14857173,CONCRETE
14857175,STOP SIGN
14857256,SIGNAL LIGHT POLE WAS KNOCKED OVER.
14857296,DAMAGED METAL FENCE
14857299,POLE
14857375,YIELD SIGN
14859696,MAIL BOX
14859709,9711 ABERDEEN WAY-HOUSE
14859733,NONE
14859744,FIRE HYDRANT
14859745,STOP SIGN DAMAGED.
14859768,METAL GUARD FOR GATE CARD READER
14859776,GUARD RAIL
14859778,CABLE BOX
14859778,TREE
14859787,HID SIGN
14859817,"MAILBOX, LANDSCAPING"
14859817,BUSHES/SHRUBS/LANDSCAPING
14867749,STONE RETAINING WALL
14867871,TRAFFIC CONTROL BOX
14867942,PIPES
14868006,WATER MAIN VALVE
14868007,CROSS WALK SIGN
14868021,DAMAGE TO FENCE AND BACK GATEVANS PART
14868058,YELLOW PARKING LOT POLES
14868128,GUARDRAIL DAMAGE
14868129,20 FT OF METAL GUARD RAIL
14868144,"CURB, LANDSCAPING-(CITY ROW)"
14868179,DAMAGED TREE
14868211,FENCE / GATE DAMAGE
14868211,FENCE DAMAGE
14875126,LIMESTONE WALL
14875347,FENCE
14875347,STOP SIGN
14875347,SCHOOL ZONE SIGN
14875348,LIGHT POLE # 358468
14875357,GUAD RAIL
14875382,COLLAPSABLE BARRIER
14875387,DOOR
14875395,CROSSWALK SIGNAL & POLE
14875422,GUARDRAIL APPROXIMATELY 65FT
14875423,LIGHT POST/TRASH CAN
14875449,LIGHT POLE
14875452,UTILITY POLE DAMAGED-AUSTIN ENERGY/TWC
14875454,CITY LIGHT POLE #306227
14875463,LANDSCAPR/TREE
14875499,GUARD RAIL
14875502,FIRE HYDRANT HIT & PULLED OUT OF GROUND
14875559,CITY STREET SIGN PARMER LN/ WILLOW BEND
14875560,GUARDRAIL
14875577,18FT SECTION GUARD RAIL W WOOD SUPPORT
14875581,15 FEET BARBED WIRE FENCE ON CORNER.
14876658,APPX 75' FENCE
14878664,TWO DIRECTIONAL SIGNS
14878760,LIGHT POLE 366132
14878771,METAL TRAFFIC LIGHT POLE
14878773,BUSHES
14878778,FIRE HYDRANT
14882458,POSTED STREET SIGN
14882492,40 FEET OF METAL GUARD RAIL ON THE WEST
14882521,FIRE HYDRANT KNOCKED OUT OF GROUND
14882521,"FIRE HYDRANT,STOP SIGN"
14882523,GARAGE OF THE HOUSE
14882547,YELLOW SAFETY POLE
14882602,GARAGE DOOR
14882611,ABOUT 10X30 FEET WOOD 6 FT TALL FOR HOUS
14882611,3 FREE STANDING COMMUNITY MAIL BOXES
14882643,FIBER OPTIC CABLE
14882647,DIRECTIONAL SIGN FOR CAP OF TX HWY WB TR
14883003,DAMAGED TO BARRIER AND STEEL CABLE
14883012,GUARDRAIL
14884354,PILLAR SUPPORTING OVERHANG AND BALLESTER
14889670,FM 1825 SIGN
14889759,FRONT DOOR\WALL\WINDOW
14889815,CONCRETE RAISED WALL
14889828,WOODEN FENCE
14889834,WOOD FENCE
14889910,STREETLIGHT
14889919,WATER BARRIER
14889976,50 FEET ROD IRON FENCE THAT VEHICLE HIT
14892135,OVER FLOW PIPE
14892168,FENCE LINE (PRIVACY)
14892769,MAILBOX
14894031,GARAGE
14894031,FENCE
14896073,HOUSE
14896416,ROAD SIGN (LIGHTED INTERSECTION AHEAD)
14896416,GUARDRAIL (20FT)
14896488,DAMAGED FENCE
14896496,NONE
14896496,NONE
14896498,WALL OF BLDG 11
14896583,LIGHT POLE NUMBER 384348
14896593,PARKING PILLAR
14896694,"RAIL ROAD CAR,ENGINE 7510"
14898420,UTILITY POLE #215620
14898438,PEDESTRIAN CROSSING SIGNAL WAS HIT
14898601,ROCK ENTRANCE
14902606,CROSSWALK SIGNAL POST RUNDBERG/ IH 35
14902632,LIGHT POLE #388073
14902634,DIRT FURROWING AND PAVEMENT SCRAPES
14902688,GUARDRAIL
14902756,TOWING ENFORCED SIGN
14902756,AUTOMATIC TELLER MACHINE
14905455,GUARD RAIL
14905525,GATE TO PROPERTY
14905549,ABOUT 6 FEET OF WOODEN FENCE BROKEN
14905558,DAMAGED BUSINESS SIGN
14905558,DAMAGED FENCE AND HOUSE
14905579,TRAFFIC SIGNAL
14905579,LIGHT POLE
14905862,TREE
14905862,FENCE 4 SECTION
14909089,BOTANICAL GARDEN BOOTH
14909092,TRAFFIC CONTROL SIGN
14909099,CONCRETE BRIDGE POST
14909149,GUARD RAIL 70 BLK N IH35 SB
14909160,BUILDING
14909160,POWER LINES
14909162,MARQUEE
14909279,ABOUT 30' OF GUARD RAIL ON EAST CURBLINE
14909321,STONE MAILBOX ABOUT 1000 IN DAMAGE
14909331,EAST CURBLINE GUARD RAIL
14909331,WEST CURBLINE JERSEY BARRIER
14909346,LIGHT POLE # 3993
14909348,FIRE HYDRANT
14909381,YIELD SIGN
14909381,LAMP LIGHT
14909393,"TREE, LANDSCAPING, SPRINKLER"
14909398,MEDIAN BARRIER 100 FEET
14909433,GUARD RAIL
14909447,WALL OF BUILDING 1 AND BUSHES IN FRONT
14909454,30 FEET OF GUARDRAIL DAMAGED
14911222,FENCE
14911302,ROCK WALL
14917533,STREET SIG
14917533,METAL FENCE
14917643,UTILITY POLE # 303910
14917645,50 FEET OF GUARDRAIL
14917698,STOP SIGN S/E CORNER INTERSECTION
14917705,MARBLE BUSINESS SIGN WAS BROKEN
14917705,LIGHT POLE #297636
14917708,MAILBOX
14917708,DOWN POWER LINE/TELEPHONE/LIGHT POLE
14917711,GUADRAIL
14917712,DAMAGED FENCE TO APARTMENT COMPLEX.
14917717,100 FEET CYCLONE FENCING
14917723,WOODEN GATE TO FENCE
14917762,GUIDE WIRE TO POLE 212837
14917772,15 FT SECT OF GUARD RAIL W/WOOD SUPPORT
14919700,STONE WALL
14919753,BARREL BARRIER
14919754,UTILITY POLE #LXL-127SPO4-27
14922048,METAL LIGHT POLE 356466
14922049,TREE
14922049,ELICTRICAL BOX
14922053,LIGHT POSTS
14922123,DAMAGE TO RESIDENTIAL FENCE
14922166,POLE # 301193 GUIDE WIRE.
14923468,BRICK RETAINING WALL
14923473,DAMAGE TO FRONT YARD- FENCE
14923473,"DAMAGE TO LAWN, TREE 512 469 6194"
14923721,GUARDRAIL
14923952,LIGHT POLE 371969
