Crash_ID,Damaged_Property
11846250,IH 35 SIGN
11846313,LIGHT POLE 313783
11846318,CONSTRUCTION ZONE SIGN
11846841,STOP SIGN
11846841,WALL AT HOUSE
11846862,LIGHT POLE (STREET)
11846865,MINOR GUARDRAIL DAMAGE
11854915,WOODEN UTILITY POLE
11857911,CONCRETE BARRIER
11860730,SPEED LIMIT SIGN
11860738,FIRE PLUG
11860742,DO NOT ENTER STREET SIGN
11860767,ROCK WALL & WOODEN FENCE
11860767,ROCK WALL & WOODEN FENCE
11860783,CITY UTILITY POLE
11860785,RAILROAD CROSSING ARM
11860789,GUARDRAIL
11860792,ELECTRICAL POLE (SW10201)
11860792,PEDESTRIAN CROSSING SIGN
11860797,CITY OF AUSTIN GUARDRAIL
11860798,TELEPHONE POLE #269180
11860798,FENCE
11860803,TREE
11860804,60 OF FENCE AND LANDSCAPING
11860809,FIRE HYDREN
11860809,LIGHT POLE #371513
11860823,CHAIN LINK FENCE
11860823,BAMBOO & LANDSCAPING
11860825,"TREES, HOUSE, LANDSCAPING"
11860835,TRAFFIC LIGHT POWER BOX
11860835,GUARD RAIL
11860842,GUARD RAIL
11860849,"STEEL I-BEAMS, STEEL CABLE"
11860921,GRUARD RAIL 6 FOOT PIECE
11860977,BUSHES
11860978,ROADWAY SIGN (YIELD/ONE-WAY)
11860983,GUARDRAIL
11860989,CENTER MEDIAN WALL
11860990,ONE WAY SIGN
11860990,COMMUNICATION PEDESTAL BOX
11865982,CROSSWALK SIGNAL LIGHT
11865983,CHAIN LINK FENCE
11866000,UTILITY POLE #229907
11866053,CONSTRUCTION SIGN
11866092,FIRE HYDRANT #454310
11866120,TELEPHONE POLE LF 08484
11866122,UTILITY POLE ASMA32-80
11866140,ONE WAY SIGN
11866267,CONCRETE BARRIER
11866281,"FLOWERS, WATER SPRINKLERS"
11866288,GUARD RAIL 75FT
11866288,LIGHT POLE #360829
11866309,CONCRETE RETAINING WALL
11866312,CONCRETE PILLAR OF BRIDGE
11868569,SMALL TRAFFIC SIGN
11869412,ELECTRIC UTILITY POLE
11883420,METAL GUARD RAIL
11883439,"FENCE, LOST TREE, DAMAGE HOME"
11883441,TREE (CENTER MEDIAN)
11883444,ROCK FLOWER BED
11883572,GUARDRAIL
11883583,LIGHT POLE #371799
11883592,CAPITOL METRO CITY BENCH
11883593,TELEPHONE POLE (WOOD)
11883611,PRIVACY FENCE
11883656,METAL DRAINAGE TUBE-BUSINESS
11883656,TRAFFIC CONTROL SIGN-METAL PLACARD
11883715,BRICK WALL
11883720,MINOR DAMAGE TO CARPORT
11883734,STATE SIGN (INFORMATION)
11883746,TREE
11883776,2801 W WILLIAM CANNON
11883787,CITY LIGHT POLE #387797
11883788,UTILITY LIGHT POLE #365677
11883788,METAL AND BRICK ENTRANCE SIGN
11883804,PEDESTRIAN CROSSING SIGNAL
11883942,TX DOT CAMERA POLE
11883956,STREET SIGN (ONE WAY)
11883962,GARDEN WINDOW ATTACHED TO HOUSE
11883973,LANDSCAPING
11883978,"HOUSE, RESIDENCE"
11883980,FENCE
11883991,ELECTRICAL BOX
11883996,PRIVATE FENCE
11883999,RESIDENTIAL MAILBOX
11884001,GUARDRAIL & POSTS
11884004,STREET SIGN/STOP SIGN
11884013,GUARD RAIL (SOUTH)
11884014,WOODEN FENCE
11884018,BILBOARD SIGN
11884018,SERVICE POLE #C1356
11884019,CENTER DIVIDER CABLE POSTS (METAL)
11884024,GUARD RAIL
11894947,MEDIAN
11894955,CONCRETE CULVERT
11894963,TRAFFIC SIGN
11894966,GUARD RAIL
11894968,POLE #384730 LIGHT POLE
11894973,SPRINKLER HEAD/LANDSCAPING
11894974,PED X-ING SIGN
11894976,BRICK PILLAR AT SHOP
11894977,BUILDING
11894985,WOODEN UTILITY POLE
11895000,GUARD RAIL
11895050,CROSS WAY SIGN/BUTTON
11895058,GUARDRAIL DAMAGE
11895062,GUARD RAIL (10')
11895064,CITY PARKING SIGN
11895075,GUARD RAIL
11895086,MAIL BOX
11895102,DROPPED CEILING TILES
11895143,LIGHT POLE #06728
11895193,GREEN ELECTRICAL BOX #172
11895253,GUARDRAIL
11895254,GUARDRAIL
11895255,GUARDRAIL
11895260,ONE (1) TREE
11895267,GUARD RAIL
11895272,GUARD RAIL
11895275,STREET SIGN
11895291,LIGHT POLE #362421
11895323,LITE POLE
11895329,LANDSCAPING & TREE
11895337,BUS STOP SIGN
11895337,TRASH CAN
11895341,DIVIDER RAILING
11895383,GUARD RAIL
11895390,SIGN
11895391,MAIL BOX
11896835,75 FT OF GUARD RAIL
11896841,AUSTIN ENERGY TRANSFORMER 3/1
11896841,LANDSCAPE
11896846,NB FRONTAGE ROAD. (HOT MIX SPILLED ON RO
11900269,EXIT SIGN
11900269,LIGHT POLE BASE
11910738,CONCRETE BASE OF LIGHT POLE
11910741,TREE
11910793,TELEPHONE POLE
11910805,GUARD RAIL
11910807,BUILDING AND FRONT DOORS
11910831,GRASS
11910848,LEFT ARROW SIGN
11910850,LANDSCAPING/SPRINKLER SYSTEM
11910850,TELEPHONE/ELECTRICAL POLE
11910887,CONCRETE DIVIDER
11910889,10' OF METAL GUARDRAIL
11910893,GUARD RAIL
11910893,HUNGRY HOWIE'S PIZZA
11910912,FENCE
11910929,T LIGHT POST
11910976,FENCE
11910976,BUILDING/PIPES
11910978,DO NOT ENTER SIGN
11910978,HIGHWAY EXIT SIGN
11918430,MAILBOX/FENCE
11918899,STREET SIGN
11918999,CART STORAGE POST
11919001,RALEIGH-PURSUIT BIKE
11919038,ONE WAY SIGN
11919039,"FENCE,STEEL GATE"
11919046,GAS LINES STICKING OUT OF THE GROUND
11919051,WOODEN FENCE
11919084,FENCE
11919087,PILLAR
