ColumnName,ID,Description
AGENCY_ID,8,ABERNATHY POLICE DEPARTMENT
AGENCY_ID,9,ABILENE CHRISTIAN UNIVERSITY POLICE DEPARTMENT
AGENCY_ID,10,ABILENE POLICE DEPARTMENT
AGENCY_ID,12,ADDISON POLICE DEPARTMENT
AGENCY_ID,13,ALAMO COMMUNITY COLLEGE DISTRICT POLICE DEPARTMENT
AGENCY_ID,14,ALAMO HEIGHTS POLICE DEPARTMENT
AGENCY_ID,15,ALAMO POLICE DEPARTMENT
AGENCY_ID,16,ALBA POLICE DEPARTMENT
AGENCY_ID,17,ALBANY POLICE DEPARTMENT
AGENCY_ID,18,ALDINE ISD POLICE DEPARTMENT
AGENCY_ID,19,ALEDO ISD POLICE DEPARTMENT
AGENCY_ID,20,ALICE POLICE DEPARTMENT
AGENCY_ID,21,ALIEF ISD POLICE DEPARTMENT
AGENCY_ID,22,ALLEN POLICE DEPARTMENT
AGENCY_ID,23,ALPINE POLICE DEPARTMENT
AGENCY_ID,24,ALTO POLICE DEPARTMENT
AGENCY_ID,25,ALTON POLICE DEPARTMENT
AGENCY_ID,26,ALVARADO POLICE DEPARTMENT
AGENCY_ID,28,ALVIN COMMUNITY COLLEGE POLICE DEPARTMENT
AGENCY_ID,29,ALVIN ISD POLICE DEPARTMENT
AGENCY_ID,30,ALVIN POLICE DEPARTMENT
AGENCY_ID,31,AMARILLO AIRPORT POLICE DEPARTMENT
AGENCY_ID,32,AMARILLO COLLEGE POLICE DEPARTMENT
AGENCY_ID,33,AMARILLO POLICE DEPARTMENT
AGENCY_ID,40,ANDREWS POLICE DEPARTMENT
AGENCY_ID,41,ANGELINA COUNTY SHERIFF'S OFFICE
AGENCY_ID,42,ANGELINA COLLEGE POLICE DEPARTMENT
AGENCY_ID,43,ANGELO STATE UNIVERSITY POLICE DEPARTMENT
AGENCY_ID,44,ANGLETON ISD POLICE DEPARTMENT
AGENCY_ID,45,ANGLETON POLICE DEPARTMENT
AGENCY_ID,46,ANSON POLICE DEPARTMENT
AGENCY_ID,47,ANTHONY POLICE DEPARTMENT
AGENCY_ID,48,ANTON POLICE DEPARTMENT
AGENCY_ID,49,ARANSAS COUNTY SHERIFF'S OFFICE
AGENCY_ID,53,ARANSAS PASS POLICE DEPARTMENT
AGENCY_ID,54,ARCHER CITY POLICE DEPARTMENT
AGENCY_ID,55,ARCHER COUNTY SHERIFF'S OFFICE
AGENCY_ID,56,ARCOLA POLICE DEPARTMENT
AGENCY_ID,57,ARGYLE POLICE DEPARTMENT
AGENCY_ID,59,ARLINGTON POLICE DEPARTMENT
AGENCY_ID,60,ARMSTRONG COUNTY SHERIFF'S OFFICE
AGENCY_ID,61,ARP POLICE DEPARTMENT
AGENCY_ID,67,ATHENS POLICE DEPARTMENT
AGENCY_ID,68,ATLANTA POLICE DEPARTMENT
AGENCY_ID,69,AUBREY POLICE DEPARTMENT
AGENCY_ID,70,AUSTIN COUNTY SHERIFF'S OFFICE
AGENCY_ID,71,AUSTIN COLLEGE POLICE DEPARTMENT
AGENCY_ID,72,AUSTIN COMMUNITY COLLEGE CAMPUS POLICE DEPARTMENT
AGENCY_ID,73,AUSTIN ISD POLICE DEPARTMENT
AGENCY_ID,74,AUSTIN POLICE DEPARTMENT
AGENCY_ID,75,AZLE ISD POLICE DEPARTMENT
AGENCY_ID,76,AZLE POLICE DEPARTMENT
AGENCY_ID,77,BAILEY COUNTY SHERIFF'S OFFICE
AGENCY_ID,78,BAIRD CITY MARSHAL'S OFFICE
AGENCY_ID,79,BALCH SPRINGS POLICE DEPARTMENT
AGENCY_ID,80,BALCONES HEIGHTS POLICE DEPARTMENT
AGENCY_ID,81,BALLINGER POLICE DEPARTMENT
AGENCY_ID,83,BANDERA COUNTY SHERIFF'S OFFICE
AGENCY_ID,84,BANDERA CITY MARSHAL'S OFFICE
AGENCY_ID,85,BANGS POLICE DEPARTMENT
AGENCY_ID,86,BARBERS HILL ISD POLICE DEPARTMENT
AGENCY_ID,87,BARDWELL POLICE DEPARTMENT
AGENCY_ID,88,BARTLETT POLICE DEPARTMENT
AGENCY_ID,89,BARTONVILLE POLICE DEPARTMENT
AGENCY_ID,90,BASTROP COUNTY SHERIFF'S OFFICE
AGENCY_ID,91,BASTROP POLICE DEPARTMENT
AGENCY_ID,92,BAY CITY ISD POLICE DEPARTMENT
AGENCY_ID,93,BAY CITY POLICE DEPARTMENT
AGENCY_ID,94,BAYLOR COUNTY SHERIFF'S OFFICE
AGENCY_ID,95,BAYLOR SCOTT & WHITE HEALTH PUBLIC SAFETY
AGENCY_ID,98,BAYLOR UNIVERSITY POLICE DEPARTMENT
AGENCY_ID,99,BAYOU VISTA POLICE DEPARTMENT
AGENCY_ID,100,BAYTOWN POLICE DEPARTMENT
AGENCY_ID,103,BEAUMONT ISD POLICE DEPARTMENT
AGENCY_ID,104,BEAUMONT POLICE DEPARTMENT
AGENCY_ID,105,BEDFORD POLICE DEPARTMENT
AGENCY_ID,106,BEE COUNTY SHERIFF'S OFFICE
AGENCY_ID,107,BEEVILLE POLICE DEPARTMENT
AGENCY_ID,108,BELL COUNTY SHERIFF'S OFFICE
AGENCY_ID,109,BELLAIRE POLICE DEPARTMENT
AGENCY_ID,110,BELLMEAD POLICE DEPARTMENT
AGENCY_ID,111,BELLS POLICE DEPARTMENT
AGENCY_ID,112,BELLVILLE POLICE DEPARTMENT
AGENCY_ID,113,BELTON POLICE DEPARTMENT
AGENCY_ID,114,BENAVIDES POLICE DEPARTMENT
AGENCY_ID,115,BENBROOK POLICE DEPARTMENT
AGENCY_ID,117,BERTRAM POLICE DEPARTMENT
AGENCY_ID,118,BEVERLY HILLS POLICE DEPARTMENT
AGENCY_ID,120,BEXAR COUNTY LAW ENFORCEMENT
AGENCY_ID,122,BIG SANDY POLICE DEPARTMENT
AGENCY_ID,123,BIG SPRING POLICE DEPARTMENT
AGENCY_ID,124,BISHOP POLICE DEPARTMENT
AGENCY_ID,126,BLANCO COUNTY SHERIFF'S OFFICE
AGENCY_ID,127,BLANCO POLICE DEPARTMENT
AGENCY_ID,128,BLINN COLLEGE POLICE DEPARTMENT
AGENCY_ID,130,BLOOMING GROVE ISD POLICE DEPARTMENT
AGENCY_ID,131,BLOOMING GROVE POLICE DEPARTMENT
AGENCY_ID,133,BLUE MOUND POLICE DEPARTMENT
AGENCY_ID,135,BOERNE POLICE DEPARTMENT
AGENCY_ID,136,BONHAM POLICE DEPARTMENT
AGENCY_ID,137,BOOKER POLICE DEPARTMENT
AGENCY_ID,138,BORDEN COUNTY SHERIFF'S OFFICE
AGENCY_ID,140,BORGER POLICE DEPARTMENT
AGENCY_ID,141,BOSQUE COUNTY SHERIFF'S OFFICE
AGENCY_ID,142,BOVINA POLICE DEPARTMENT
AGENCY_ID,144,BOWIE POLICE DEPARTMENT
