Crash_ID,Damaged_Property
15543582,20 FEET WROUGHT IRON FENCE
15543596,UTILITY POLE #389967
15543673,STREET SIGN
15545496,METAL CITY OF AUSTIN TRASH CAN
15545500,10 FEET OF STEEL FENCE
15545517,STEEL LIGHT POLE LAID OVER ON THE GROUND
15545570,CONCRETE BARRIER BROKEN
15547413,MAILBOX DESTROYED
15547430,LIGHT HEAD FIXTURE
15547432,GUARD RAIL DAMAGE TO SOUTH WEST CORNER
15547435,GUAGE IN ROADWAY STATE OF TEXAS
15547436,"15' GUARDRAIL, NORTH SIDE OF RD"
15547464,SIGNAL LIGHT IN CENTER OF US 183
15547467,20 FEET OF PIPE FENCE WAS DAMAGED.
15547891,FENCE AT 301 N PLEASANT VALLEY RD
15547899,TXDOT LANE DILINEATOR
15551230,LIGHT POLE
15551231,LARGE SCRAP MARKS ON INTERSTATE
15551256,PEDESTRIAN CROSSING SIGN
15551261,POLE NUMBER 263570
15551306,INTERSTATE SIGN
15551306,GUARD RAILS
15551307,GUARD RAIL
15551356,WALL
15551366,"""WRONG WAY"" STREET SIGN"
15554099,GUARD RAIL
15554135,AISD PARKING LOT STREET LIGHT
15554138,GUARD RAIL
15556936,BRICK MAILBOX
15556946,SHED
15556975,TELEPHONE POLE #250999
15556975,CHAINLINK FENCE SURROUNDING BUILDING
15557008,GAS PUMP
15557018,BYCICLE
15557027,GUARD RAIL DAMAGE (50FT)
15557073,GUARD RAIL
15557078,LIGHT POLE
15557079,RETAINING WALL
15558360,TRAFFIC LIGHT
15558958,GUARD RAIL
15558960,WROUGHT IRON FENCE
15558960,LANDSCAPING
15558968,GARAGE DOOR
15558969,SONIC DRIVE THRU MENU.
15558973,POLE NUMBER 403187
15559031,ROADWAY
15561865,LIGHT POLE
15561865,STEEL FENCE
15562407,CHAIN LINK FENCE
15562411,ELECTRIC UTILITY POLE #798
15562424,CONCRETE STATUE AND BRICK FOUNTAIN
15562481,GO GREENE AUTO COMPANY SIGN
15562532,MAIL BOX KNOCKED DOWN.
15562533,AUSTIN  ENERGY LIGHT POLE WAS DAMAGED
15562541,STREET LIGHT
15562541,BLOCK WALL
15564705,FURNITURE MARKET FRONT OF BUILDING DAMAG
15564717,COLLISION SAFETY BARRIER
15564724,STOP SIGN AND STREET SIGN
15564729,STOP SIGN @ ALLENDALE AND WOODVIEW
15564800,20 FEET OF END GUARDRAIL
15565155,LIGHT POLE
15570055,TREE
15570059,GUARDRAIL ~25' SECTION & END CAP
15570097,POWER LINE POLE
15570117,8610 PINEY CREEK BND
15570208,MOTORIZED GATE
15570211,DAMAGE TO THE WEST WALL OF BUILDING D
15570219,RETAINING WALL IN FRONT YARD DAMAGED
15570259,MAILBOX
15570261,POLE 298322
15570266,GATE
15570266,NO PARKING SIGN
15572942,FIRE HYDRANT
15572942,TELEPHONE POLE #223131
15572945,ROCK RETAINING WALL
15572958,1600 NORTWOOD RD
15572958,1602 NORTHWOOD RD
15573014,NB STOP SIGN ON NAVASOTA AT E 7TH ST
15573017,TELEPHONE POLE #299214
15573018,POLE
15573216,POLE
15573306,GARAGE DOOR AND BUILDING
15573314,FIRE HYDRANT
15573394,APPROX 20 FT OF GUARDRAIL
15575891,UTILITY POLE
15575893,CULVERT
15575947,LIGHT POLE
15576473,PAINT MARKS ON CONCRETE BARRIER
15578212,GUARDRAIL DAMAGED - APPROXIMATELY 30 FT
15578258,MAILBOX
15581983,CROSSWALK LIGHT CONTROL POLE/SIGNAL
15581983,ONE-WAY SIGN/POLE
15581990,CITY OF AUSTIN
15581992,MAILBOX
15581992,MAILBOX
15581998,10 FT OF GUARDRAIL DAMAGE
15582001,GUARDRAIL ON NORTH ED BLUESTEIN BLVD
15582031,YARD DAMAGED FROM VEHICLE
15582048,FENCE
15582064,GUARDRAIL
15582110,CONCRETE PILLAR
15582115,CONSTRUCTION BARRIER 443-610-8615
15582372,SIGNAL BOARD
15585307,MAILBOX DESTROYED
15585311,V STRUCK METAL SIGN AND WOODEN FENCE
15585313,"TELEPHONE POLE, NO NUMBER, WEST CURBLINE"
15585383,CONSTRUCTION BARRIERS
15585459,FENCE AND CARPORT OF UNIT 3
15585459,"""NO PARKING IN BIKE LANE"" SIGN"
15585505,FENCE
15585506,METAL POLE AND CONCRETE PILLAR
15585507,JERSEY WALL BARRIER
15585642,CHAIN FENCE AND RAZOR WIRE AND POSTS
15585679,OFFICE WALL
15585701,WARNING BARRICAD / MEDIAN WALL
15588725,PEDESTRIAN LIGHT
15588769,STREET SIGN
15588790,HIGH PEDESTRIAN ACTIVITY SIGN
15588796,BICYCLE
15588799,PED. YEILD SIGN
15590155,SIGN POST
15593786,MERGE SIGN
15593790,CURB
15593864,TRAFFIC SIGNAL UTILITY POLE
15593864,SCHOOL CROSSWALK SIGN
15593899,POLE #LF06887
15593922,N US 183 NB LEFT TURN SIGN
15597832,CITY OF AUSTIN ELECTRIC POLIE #328690
15597892,ELECTRIC POLE # 20966
15597894,TWO GLASS PANE WINDOWS & METAL FRAME
15597897,METAL FENCE
15597938,TELEPHONE POLE
15597941,2 WARNING SIGNS
15597942,FIRE HYDRANT KNOCKED OVER.
15597956,GUARDRAIL
15597958,NONE
15598040,LANDSCAPING
15598042,YIELD SIGN
15598060,HIT AND KNOCKED OVER A NO PARKING SIGN
15598772,TRAFFIC CONTROL LIGHT POLE
15598772,GUARDRAIL
15600990,RAMP BARRIER
15600993,KNOCKED OVER A TRAFFIC SIGN
15600995,YIELD SIGN IN 290 EB TO WB TURN TURN AR
15601002,CENTER CABLE LINE AND HOLDERS
15601047,TELEPHONE POLE
15601074,SIGN AND BRICK WALL
15604630,STOP SIGN AT SW CORNER OF INTERSECTION
15604638,STONE STEPS
15604645,UTILITY POLE
15604721,LIGHT POLE CABLE SUPPORT NORTH CURB
15604742,STOP SIGN AND PATTON RANCH ROAD SIGN
15604786,UTILITY POLE WAS STRUCK BY VEHICLE #1.
15604796,CROSS WALK SIGNAL
15604876,GUARD RAIL
15604882,GUARDRAIL/CONCRETE MEDIAN
15604887,UTILITY POLE
15604891,"NO PARKING, TOWING ENFORCED SIGN"
15604891,BRICK WALL
15604893,SIGNAL LIGHT.
15609293,UTILITY POLE 403827
15609305,DAMAGED GATE AND CINDER BLOCK WALL
15609363,"SPRINKLER, LIGHT, ROCKS"
15609378,BRICK WALL OF BUILDING DAMAGED.
15609383,LIGHT POLE #361345
15609450,LANDSCAPE DAMAGE
15609595,UTILITY POLE
15609602,CITY STREET SIGN AND POST (NO PARKING)
15609607,RETAINING WALL
15609617,UTULITY POLE 254064
15609673,LIGHT POLE #388599
15609676,PRIVATE WIRE FENCE
15609679,FRONT SIDE OF DUPLEX
15609884,PHONE AND CABLE BOXES
15609884,TREES AND YARD
15609889,CULVERT
15611876,RESIDENCE
15611890,CROSSWALK SIGNAL KNOCKED OVER
15611939,UTILITY POLE (248657)
15611939,RESIDENTIAL WOOD FENCE
15613541,UTILITY POLE #210186
15613607,BICYCLE/PEUGEOT Y90411467
15613613,STREET LIGHT POLE #224502
15613660,183 SIGN KNOCKED DOWN IN MEDIAN
15617939,KNOCKED OVER MAILBOX
15617940,STOP SIGN WITH STREET SIGN ABOVE
15617950,POLE#230362
15618360,BUILDING
15618365,GUARD RAIL
15623098,MAILBOX RAN OVER
15623211,YIELD SIGN
15623230,RETAINAINING WALL & CONCRETE
15623242,YORKSHIRE/CAMERON STREET SIGN
15623390,DESTROYED LIGHT POLE.
15623391,CROSSWALK POLE W/ ELECTRIC SIGNS
15623400,ROCK WALL
15623449,GRASS/PAVEMENT
15623457,STEEL BARRIER FENCING ALONG SVRD
15623538,LIGHT POLE KNOCKED DOWN
15623540,MULTIPLE LARGE BUSHES CRUSHED
15623552,STREET SIGN
15623559,GUARDRAIL
15623561,CONCRETE BARRIER AND FENCE
15623622,FIRE HYDRANT
15623623,10 FT GUARD RAIL
15625190,YELLOW WATER BARRIERS
15625421,METAL FENCE
15625433,LIGHT POLE #398950
15625440,BEND IN ROAD SIGN
15625440,LANDSCAPING AND FENCE
15635475,FENCE
15637561,BRICK PILLAR
15637562,MAILBOX
15637576,POLE #297491. VEHICLE STUCK INTO WIRES
15637578,WATER BARRIER
15637581,LARGE METAL UTILITY CONTROL BOX
15637642,50 FT GUARD RAIL
15637666,FIRE HYDRANT DAMAGED
15637713,FENCE
15637713,FENCE DECK HOTTUB
15637716,GUARDRAIL ON W CURBLINE
15639615,DELINEATOR POST
15643791,BUSINESS SIGN STRUCK BY CAR
15643807,BRICK WALL AT 2607 BARTON SKYWAY
15643879,FIRE HYDRANT
15643879,SHED
15643880,GUARDRAIL
15643893,LIGHT POLE
15643899,STREET SIGN DAVIS AND CAMERON LOOP
15643930,WOODEN TELEPHONE POLE
15643931,TREES (2)
15643932,STREERT SIGN FOR LOOP 1
15643946,LIGHT POLE
15646003,"BROKEN WOODEN FENCE, DESTROYED CABLE BOX"
15646003,LANDSCAPING DAMAGE
15646003,"LANDSCAPING, TREE DAMAGE"
15646014,GUARD RAIL
15646023,FENCE AND PORCH
15646024,CONSTRUCTION GUARDRAIL
15646077,BUS STOP SIGN STOP ID 5432
15646079,"SILVER FIRE HYDRANT 250WP, TWO WALK SIGN"
15646079,10 FEET OF WOOD FENCE 4812 FLICKER LN
15646105,GAURDRAIL DAMAGE ON LEFT SHOULDER.
15646108,GUARDRAIL
15646110,GUARDRAIL APPROX 40 FEET
15646112,SPEED LIMIT SIGN
15646120,FENCE DAMAGED
15646120,DAMAGE TO EXTERIOR WALL
15646121,BORDER AROUND DRIVEWAY
15646157,LIGHT POLE 371531
15646241,TREE
15646241,2 BENCHES
15646241,DAMAGED BUILDING
15647107,OAK TREE
15647398,RAILING
15647408,SIGN ON WB SIDE OF RR TRACKS
15647409,284953 LIGHT POLE
15647440,ENTRANCE GATE
15650091,LIGHT POLE KNOCKED OUT OF THE GROUND
15650096,SIGNAL LIGHT POLE NUMBER 377248
15650102,GUARD POST
15650656,BUILDING
15650678,BICYCLE
15653841,"IRRIGATION LINES, SIGN AND LANDSCAPING"
15653844,GRAY MOUNTAIN BICYCLE CRUSHED BY VEHICLE
15653844,HANDICAPPED RAMP RAILING RAN OVER
15653844,TELEPHONE POLE GUIDEWIRES RIPPED UP
15653890,DESTROYED POTTED PLANT LARGE IN SIZE
15653890,BROKEN WINDOW
15653890,DAMAGE TO BRICK WALL SW CORNER
15653931,DAMAGED BICYCLE.  REAR WHEEL BENT
15653934,TREE
15653936,BUSH ON FRONT LAWN
15653943,BICYCLE
15653973,BICYCLE
15654053,IH-35 SIGN
15654059,FRONT OF HOUSE
15656022,GUARDRAIL TO 183 RAMP
15656029,TREE
15656067,WATER FILLED BARRICADE
15656090,METAL UTILITY POLE
15657877,LIGHT POLE
15657881,LIGHTPOLE #223929
15657890,BICYCLE SCRATCHES
15657893,FIRE HYDRANT 63845
15659893,DAMAGED ROAD SIGN
15659901,CHURCHES CHICKEN
15659935,OUTSIDE WALL TO BUILDING DAMMAGED
15661166,STREET LIGHT POLE #398943
15661665,FRONT WALL ON THE EAST SIDE
15661670,5 NO PARKING SIGNS
15661687,DAMAGED LARGE POTTED PLANT BARRIER
15669177,TRAFFIC CABINET 686
15669186,TREE
15669236,HWY GUARD RAIL 15 FEET
15669237,CROSS WALK SIGN
15669237,CROSS WALK LIGHT
15669243,CONCRETE BARRIER - SCRATCHES
15669246,RESIDENCE / GARAGE DOOR & FRAME
15669306,APPROX 15 YARDS GUARDRAIL
15669308,DAMAGED IRON FENCE
15669310,BICYCLE
15669373,GUARDRAIL DAMAGED AROUND 70 FT
15669398,SUPPORT CABLES
15669398,NATURAL GAS RISER
15669402,LIGHT POLE AND RAIL
15669411,"GUARD RAIL, APPROXIMATELY 20FT"
15669412,DAMAGED STONE FENCE
15669418,CONCRETE CULVERT
15669462,GUARDRAIL
15669465,CITY LIGHT POLE 365229
15669542,BUS STOP
15669547,FRONT WINDOW OF BUSINESS ON WEST SIDE OF
15669584,TREE
15669587,SHRUBS
15669587,CHAIN LINKED FENCE
15670819,NONE
15670946,ROADWAY SIGN KNOCKED DOWN
15670957,WALL
15671172,ELECTRIC POLE #405127
15671172,TREE/CHAIN LINK FENCE
15671178,CITY LIGHT POLE NUMBER 403460
15671178,DESTROYED 20-30 FEET OF WOODEN FENCE
15671178,DESTROYED A SMALL WOODEN SHED
15671185,GUARD RAIL
15671185,METAL LIGHT POLE 377079
15673553,DAMAGED FIRE HYDRANT
15673564,FENCE
15673571,SECURITY GATE
15673611,GARAGE DOOR
15675671,APPROXIMATELY 30 FEET (GUARD RAIL)
15675710,STREET LIGHT 389346
15675712,6' CONCRETE CENTER MEDIAN
15679484,ONE WAY SIGN FOR WB KOENIG AT DUVAL
15679493,POLE 285392 BROKE AT BASE
15679497,GUARDRAIL DAMAGE APPROX 25 FT
15679505,CONSTRUCTION BARREL
15679577,FRONT FENCE
15679595,HEB SIGN RETAINING WALL
15684201,GUARD RAIL
15684208,LIGHT POLE
15684209,30 FT GUARDRAIL ON EAST SIDE OF ROAD
15684224,TRAFFIC SIGNAL CONTROL BOX
15684264,PEDESTRIAN CROSSING SIGNAL WAS STRUCK
15684266,FIRE HYDRANT WAS HIT. NO VISIBLE DAMAGE
15684270,ONE WAY SIGN. 35 INDICATOR SIGNS NB SB
15684272,CAST IRON LIGHT POLE
15684272,FIRE HYDRANT
15684274,PEDESTRIAN CONTROL DEVICE
15684275,UTILITY POLE AND SIGNAL LIGHT
15684285,STREET SIGN
15684289,ABIA AIRPORT FENCE
15684344,UTLITY POLE #376963
15684427,CITY BUS BENCH
15684427,CITY SIGNAL CONTROL BOX
15684428,UTILITY POLE
15684499,CABLE BOX
15684500,GUARDRAIL
15686290,BRIDGE OVER US HWY 183 STATE HIGHWAY 71E
15686301,"CAR, HOME"
15686301,MAILBOX
15688538,CONCRETE DIVIDER
15688544,TREE DAMAGE
15688614,STREET LIGHT
15688618,TELEPHONE SUPPORT WIRES
15688619,SCUFFS OF RAISED CURB
15688619,2 SIGN POST KNOCKED OVER
15693578,12 POLES AND 50 FEET GUARD RAIL DAMAGED
15693881,POWER POLE 233540
15693883,TXDOT SIGNAL POLE
15693886,CONCRETE RETAINING WALL
15693926,SPRINKLER SYSTEM
15693926,BUILDING
15693945,AUSTIN ENERGY LIGHT POLE
15693984,GUARD RAIL
15693997,ELECTRIC PANEL
15694058,"15 FEET BRICK FENCE, 10 FEET WOOD FENCE"
15694101,CONCRETE SUPPORT POLE
15694102,YIELD SIGN
15694102,LIGHT POLE
15694104,SAFETY HAND RAILING
15696412,PEDESTAL METER BOX AT THE FRONT YARD
15696418,ABOUT 30 FT OF GUARDRAIL
15698893,PAINT TRANSFER ON IMPACTED GUARDRAIL
15700436,DAMAGED NORTHEAST SIDE OF HOME
15704408,"LANDSCAPING, SPRINKLERS, FENCING"
15706490,AMAZON PACKAGE LOCKER
15706506,MORELAND PROPERTIES
15706506,1400 SCENIC DRIVE
15706509,PRIVATE RESIDENCE FENCE
15706546,GUARDRAIL
15706559,44 FOOT SECTION CONCRETE MEDIAN
15706566,TRAFFIC CONTROL BOX HIT AND KNOCKED OVER
15706608,FENCE IN FRONT YARD DAMAGED
15706612,MEDIAN TO 45 FLYOVER
15706612,ROADWAY SURFACE
15706722,GUARD RAIL
15706766,GUARD RAIL
15706773,"DAMAGE TO BRICK WALL OF ""LEGEND OAKS PLA"
15706778,YELLOW ARROW SIGN
15706864,CONCRETE CURB
15706918,WATER BARRIERS
15706970,LAWN DAMAGE
15706983,723 E.6TH ST
15707021,BRIDGE RAILING DAMAGED
15707085,ELECTICAL POLE
15707086,SMALL CONSTRUCTION FENCE
15707090,GUARD RAIL
15707137,DISABLE SIGN AND RAIL
15710164,2 SIGNS KNOCKED DOWN.
15711387,PARKING LOT MARKING DAMAGE
15711416,KNOCKED OVER STOP SIGN
15711417,GUARD RAIL
15711418,SIGN/POLE
15711429,DESTROYED MAILBOX AT 1141 W RUNDBERG LN
15711448,FIRE HYDANT
15711454,LANDSCAPE DAMAGE
15711465,TREE
15711470,DAMAGE TO FENCE AND BUSHES.
15714894,RETAINING WALL
15714907,TRAFFIC SIGNAL POLE
15714910,GARD RAIL (APPROX 50 FT)
15714963,GUARD RAIL DAMAGE APPROX 60 FEET
15714981,UTILITY POLE #283039
15715000,PEDESTRIAN GUARD RAIL
15715017,BUILDING STAIRWAY/2ND STORY SUPPORT BEAM
15715024,WHEEL CHAIR
15715025,RETAINING FENCE
15715048,BILLBOARD SIGN
15715058,GATE AND LOCK
15718752,UTILITY POLE
15718761,POLE
15718774,FIRE HYDRANT
15718866,STONE MAILBOX
15718960,REAL ESTATE PROPERTY SIGN
15718968,ONE WAY SIGN
15723886,BICYCLE
15723967,GUARDRAIL
15723975,UTILITY POLE
15727842,MAIL BOX
15727842,TELEPHONE POLE/STREET LIGHT
15727845,TREE ON PARKING LOT
15727854,2 DAMAGED GARBAGE BINS
15727856,SPEED LIMIT SIGN
15727924,LIVESTOCK FENCE
15727940,SUBSTANTIAL DAMAGE TO WALL OF STRUCTURE
15727956,STREET LIGHT #362478 FELL FROM POLE
15727962,35 MPH SPEED LIMIT SIGN
15727986,WOOD TELEPHONE POLE
15731336,TWO SECTIONS OF FENCE LINE ENTRY AND EXI
15731532,TREE AND ROCK LANDSCAPING
15731542,LIGHT POLE
15731546,BACK FENCE
15731610,ROAD WORK AHEAD
15734429,STONE MAILBOX
15735213,BUILDING 9414 N PARKFIELD DR
15738196,LIGHT POLE WAS HIT AND KNOCKED DOWN
15740126,GUARDRAIL POST
15740310,100FT GUARD RAIL DAMAGE
15740317,DAMAGE TO THE AUSTIN SUITES HOTEL.
15740326,SCHOOL SPEED LIMIT AND YELLOW SIGN DOWN
15740379,ARROW BOARD
15740381,BRICK MAILBOX
15740418,MOVABLE GUARDRAIL/WATER BARRIER STRUCK
15740435,LIGHT POLE IN CENTER MEDIAN #366115
15745269,CONCRETE PILLAR AND ROT IRON FENCE
15745274,CROSS WALK LIGHT POLE. NO POLE NUMBER
15745346,LIGHT POLE #357270
15745364,CITY LIGHT POLE# 234507
15745402,METAL GUARDRAIN IN CENTER MEDIAN
15745473,POWER POLE
15745476,CONCRETE BARRIER
15745481,GUARDRAIL
15745489,SIGNAL LIGHT POLE CROSSWALK POLE
15745541,STREET SIGNS(NO PARKING/BIKE ONLY)
15745541,FENCE
15745542,339552
15745554,STREET SIGN
15750306,LIGHT POLE 278778. 20 DT OF GUARDRAIL
15750327,STOP SIGN
15750503,STREET AND STOP SIGN
15750503,LIGHT POLE
15750504,2 ROAD SIGNS
15750519,COVERED AWNING
15750607,LIGHT POLE
15750732,FENCE
15750742,'WRONG WAY' SIGN KNOCKED DOWN
15750756,STREET LIGHT
15752197,FRONT WALL BESIDE GATE
15752203,METAL FENCE IN PARKING LOT DAMAGED BY V1
15752203,PARKED TRAILER
15752290,FENCE
15752295,INTERSTATE GUARDRAIL
15752296,GUARDRAIL AND STREET GOUGED
15757374,3005 MANCHACA
15758437,LIGHT POLE
15758452,DAMAGE TO BUS STOP #1365 RAILING
15758530,GUARDRAIL
15758548,5 FT OF GUARDRAIL DAMAGE
15761263,LARGE METAL HWY SIGN
15761326,EXTERIOR BUILDING WALL
15761448,PERIMETER FENCE
15761507,GUARD RAIL DAMAGED ON N IH35 NB
15761870,ROSEMARY BUSHES
15761883,TRASH CAN
15761885,STREET SIGN
15762363,METAL FENCE
15762365,STOP/STREET SIGN
15762373,WOODEN POSTS ON SIGN
15766660,LIGHT POLE TAKEN DOWN
15766668,DAMAGED METAL FENCE
15766677,APPROXIMATELY 5 WOOD PYLONS
15766680,PEDESTRIAN ELECTRONIC LIGHT
15766811,POLE #214264
15766823,BICYCLE
15766829,TELEPHONE POLE #306811
15766918,STREET LAMP #378895
15766924,EXTERIOR WALL
15766927,GUARD RAIL ON SIDEWALK 600 BLOCK S LAMAR
15767055,UTILITY POLE #283313
15767058,APPROXIMATELY 20' OF IRON FENSE DISPLACE
15767188,CROSSWALK SIGN NW CORNER OF INT
15767191,MAILBOX
15767191,RETAINING WALL
15767193,AISTIN ENERGY POWER POLE# 229824
15770058,GUARDRAIL ON THE SB SERVICE ROAD
15770121,WALL
15770131,DAMAGED CHAIN LINK FENCE AND CEMENT
15770192,MAIL BOX
15770193,LANSCAPING AND TREES
15770193,LANSCAPING AND MAIL BOX
15770245,GUARDRAIL BY BUILDING 4
15770255,CHAIN LINK FENCE POST
15770259,STOP SIGN & STREET SIGNS
15770260,50 FEET OF DAMAGED GUARD RAIL
15770262,STREET SIGNS MARKED HIGHWAY 183 SOUTH
15774344,GUARD RAIL
15774354,10300 GOLDEN MEADOW DR BLDG 2
15774408,LIGHT POLT # 353491
15774423,GUARD RAIL DAMAGE
15774496,GUARD RAIL
15774521,DAMAGE TO CONSTRUCTION
15774577,DAMAGED FENCE
15774579,GUARD RAIL
15775220,STOP SIGN
15783757,CONCRETE BLOCKS NEAR ENTERANCE
15787004,CITY FIRE HYDRANT
15787012,STOP SIGN SE CORNER
15787018,TOLL BOOTH
15787097,15 FT CONCRETE /METAL BARRIER
15787098,APPROX 10FT OF CHAIN LINK FENCE
15787099,METAL FENCE HIT AND LEANING
15787107,CEMENT RETAINING WALL
15787154,SPEED LIMIT SIGN
15787234,GARAGE DOOR DRIVEN THROUGH AND DRYWALL
15787234,DRYWALL
15787242,SIDE WALL OF THE GARAGE OF A TOWN HOME.
15787247,LIGHT POLE
15787248,STREET SIGN
15787319,FENCE/HOUSE
15787326,OAK TREE/RETAINING WALL
15787382,40FT OF GUARDRAIL DAMAGE
15787406,LIGHT POLE
15787411,BUSINESS WALL AND WINDOW DAMAGE
15787413,POWER POLE 231585
15787413,GOUGES IN STREET SURFACE
15787454,10 FT OF GUARDRAIL
15787457,HIT HOUSE FOUNDATION
15787458,SIGN #80160541233
15787463,FIRE HYDRANT
15787473,GUARDRAIL
15787580,CITY OF AUSTIN LIGHTPOLE
15787580,FENCE
15787583,ELECTRICAL POLE #401069
15787740,FENCE TO APARTMENT COMPLEX
15787747,TRAFFIC BARRIER
15791196,SIDE RAILS
15791206,FENCE
15791215,FRONT DOOR FRAME AND INTERIOR WALL
15791268,DAMAGED FENCE AND GARAGE
15791273,APPROX. 40 FT GUARDRAIL
15791281,STEEL LIGHT POLE
15791281,WROUGHT IRON FENCE
15791317,LARGE TREE
15791326,"RETAINING WALL, STONE"
15791326,"HYDRANT, FIRE PLUG"
15791327,PLASTIC BARRIERS
15791370,METAL LIGHT POLE
15791374,APPROX 70 FEET OF METAL FENCE
15791374,STREET SIGN
15791375,CHAIN LINK FENCE
15795119,RAN OVER TREE
15795132,GUARDRAIL
15795391,FIRE HYDRANT
15795399,CHAIN LIKED FENCE INCASEING A SEWER SYST
15795465,TREES IN CENTER MEDIAN OF E HOWARD LN
15795534,ROCK WALL OF DUMPSTER STORAGE AREA
15795543,TREE
15795548,TRAFFIC SIGNAL POLE
15795554,ONE WAY SIGN
15795595,FIRE HYDRANT
15795595,UTILITY POLE # 319825
15795599,BRICK MAILBOX
15795600,GUARDRAIL ABOUT 40 FEET DAMAGED.
15795603,TRAFFIC CONTROL BOX
15795604,LIGHT POLE BASE
15796457,PEDESTRIAN CROSS SIGNAL LIGHT
15798198,ROCK WALL AT HOME
15798218,ABIA SIDEWALK FENCE
15798233,DAMAGE TO TREE
15798238,LIGHT POLE
15798238,MAILBOX FOR SIDE A AND B
15798241,TREE AND GATE
15798241,BUILDING AT 933 PARK PLZ
15798280,CITY OF AUSTIN TRAFFIC POLE
15798285,METAL AND PLASTIC BARRIERS
15802269,MAILBOX
15802272,UTILITY POLE ON S CURB LINE
15802274,BICYCLE
15802305,SHRUBS AND TREE
15802319,BICYCLE
15802328,STONE MALL SIGN
15802366,UTILITY POLE
15802366,STREET SIGNS
15802461,CABLE BOX
15802472,GUARDRAIL
15802848,13-15 FEET OF CONCRETE WALL
15808373,ELECTRICAL STRUCTURAL SUPPORT LINES
15808373,TRAFFIC SIGNAL LIGHT
15808374,TREE
15808385,METAL FENCE
15808500,SIGNAL CONTROL BOX
15808501,NONE
15808660,WATER BARRIER
15811978,STOP SIGN AT ALDRICH
15811981,POWER BOX
15811988,CROSSWALK SIGN KNOCKED OVER
15811990,LIGHT POLE (POLE #282937)
15812415,10-15 FT OF YELLOW WATER BARRIER
15812490,POWERLINE #224159
15812502,BRICK &  WOODEN FENCE
15812502,UTILITY POLE
15812524,FENCE
15812524,STOP SIGN
15816386,ENTRY GATE
15816495,UTILITY POLE
15816506,TRAILER
15820567,PEDESTRIAN CROSSING SIGNAL
15820569,CRACKED ELECTRIC POLE 213921
15820578,GUARD RAIL DAMAGED
15820584,40 FT OF GUARD RAIL
15820628,UTILITY POLE
15820644,TRAFFIC LIGHT AND POLE
15820653,FIRE HYDRAND
15820660,BUSHES AND FENCE
15820682,SOUTH SIDE OF RESIDENCE
15820692,GUARDRAIL ON LEFT SIDE OF US 290 HWY WB
15821353,GUARD RAIL
15822834,DAMAGE TO TO REAR OF WALGREENS BUILDING.
15822836,STREET LIGHT POLE BROKEN OFF.
15822837,FIRE HYDRANT
15822843,RESIDENCE MAILBOX
15822845,BUS STOP
15823141,GUARDRAIL ON W CURBLINE
15823143,PRIVATE TOW SIGN
15824788,DO NOT ENTER STREET SIGN
15824792,GUARDRAIL BROKEN FROM 8 WOODEN POSTS.
15824793,BUS STOP POLE ID 5593
15825011,STAIRCASE
