Crash_ID,Damaged_Property
16826889,LAMP POST AND STREET SIGN
16827742,BARK DAMAGE TREE/UTILITY COVER
16828208,GUARD RAIL DAMAGE
16831729,FIRE HYDRANT G10572
16831731,GUARDRAIL - ~ 30 FT
16831804,DAMAGE TO LANDSCAPING & IRRIGATION LINES
16831812,FIRE HYDRANT BROKEN OFF FROM GROUND
16831813,GUARDRAIL
16831816,LIGHT POLE #406174
16831867,GUARD RAIL 9FT
16831869,HOUSE LOCATED AT 5509 HAROLD CT
16831888,LAMP POST
16831888,LANDSCAPING
16831949,STREET SIGN
16835333,ELECTIC POLE #213051
16835347,LIGHT POLE #372030
16835393,AT&T CABLE BOX
16835393,"STOP SIGN, STREET SIGN, AND POST"
16835437,WOODEN TRAIL GATE ATWALNUT CREEK PARK
16836013,FRONT PORCH STEPS AND RAILING
16837533,POLE AT 711
16837543,LIGHT POLE #250276
16837598,GUARDRAIL
16839361,SURLY LONG HAUL TRUCKER BICYCLE
16839362,LIGHT POLE
16839362,METAL FENCE
16839363,CONCRETE WALL
16839424,OZONE 500 BICYCLE ($200)
16839435,GUARDRAIL
16841466,LIGHT POLE
16843455,10' GUARDRAIL DAMAGE W/ ENDCAP
16848235,POSTED SIGNS
16848294,DAMAGE TO OUTER WALL OF ROOM 208 AND 206
16848298,GOUGES IN SIDEWALK
16848299,LADDER ON TRAILER
16848389,20FT CONCRETE BARRIER BROKE IN HALF
16848444,CONCRETE BARRIER
16848457,HIGHWAY GUARD RAIL POST
16848457,HIGHWAY GUARD RAIL
16848510,BROKEN METAL FENCE
16848511,LIGHT UTILITY POST #386180
16848569,CITY OF AUSTIN TRAFFIC SIGN
16848569,LIFE WORKS
16848625,CONCRETE FOUNDATION FOR SIGNAL LIGHT POL
16848634,GUARDRAIL
16848639,NONE
16848644,BACK WOODEN FENCE
16848644,WOODEN FENCE/ BACK WALL OF RESIDENCE
16850192,GUARDRAIL
16850192,LIGHT POLE
16850689,STREET LIGHT
16850692,GAZEBO/STONE BENCH
16853705,UNKNOWN DAMAGE TO RETRACTABLE BOLLARDS
16854658,ABC BLINDS AND DRAPERY
16854660,FENCE
16854668,GUARDRAIL
16854699,FOR LEASE SIGN IN FRONT OF 12400 IH35 SV
16854746,SW CORNER BEDROOM WALL OF APT 1317
16854753,NOVARA XR EXPRESSO
16854837,FENCE
16854837,"FIRE HYDRANT, STOP SIGN"
16854838,ONE TELEPHONE BOX #1601
16854838,6 SECTIONS OF METAL FENCE
16854893,STOP SIGN
16854897,"DAMAGED GATE OF ""GRIFFIS APARTMENTS"""
16854897,CITY OF AUSTIN POLE 358871
16854904,25 FEET OF FENCELINE
16854906,SOUTH ENTRY GATE APARTMENTS
16854958,IRON FENCE
16854959,WHATABURGER SPEAKER BOX
16854974,GUARD RAIL TO LOADING DOCK
16855012,DAMAGE TO FENCE ALONG THE BACK OF COMPLE
16855016,APPROX. 30 FEET OF CHAIN LINK DAMAGED
16858534,UNIVERSITY OF TEXAS BOLLARD
16861053,AIR CONDITIONING UNIT AND LANDSCAPING
16861141,STEEL TRAFFIC SIGNAL POLE
16861142,FIRE HYDRANT
16861165,LIGHT POLE
16861184,FOOT CONCESSION STAND
16861189,GUARD RAIL DAMAGE
16861191,ELECTRICAL POLE
16861192,ELETRICAL LINE
16861237,GUARD RAIL DAMAGE 10 FEET
16861252,LIGHT POLE #406521
16861294,DAMAGE TO ROADWAY MEDIAN
