Crash_ID,Unit_Nbr,Prsn_Nbr,Charge_Cat_ID,Charge,Citation_Nbr
16826430,1,1,,NO CHARGES,
16826430,2,1,,NO DL,E16874013
16826430,2,1,,FTMFR,E16874013
16826430,2,2,,NO CHARGES,
16826430,2,3,,NO CHARGES,
16826430,2,4,,NO CHARGES,
16826430,3,1,,NO CHARGES,
16826641,1,1,,NO CHARGES,
16826889,1,1,,DWI,190010763
16827158,1,1,,NO CHARGES,
16827158,2,1,,NO CHARGES,
16827741,1,1,,NO CHARGES,
16827742,1,1,,NO CHARGES,
16828208,1,1,,NO CHARGES,
16831725,1,1,,NO CHARGES,
16831726,1,1,,DWI,190010080
16831726,1,2,,NO CHARGES,
16831726,2,1,,NO CHARGES,
16831726,2,2,,NO CHARGES,
16831726,3,1,,NO CHARGES,
16831726,3,2,,NO CHARGES,
16831727,1,1,,DWI CLASS B,WARRANT
16831727,2,1,,NO CHARGES,
16831727,3,1,,NO CHARGES,
16831727,3,2,,NO CHARGES,
16831727,3,3,,NO CHARGES,
16831727,3,4,,NO CHARGES,
16831727,4,1,,NO CHARGES,
16831728,1,1,,NO CHARGES,
16831729,1,1,,DWI,
16831730,1,1,,NO CHARGES,
16831730,1,2,,NO CHARGES,
16831731,1,1,,DWI,
16831732,1,1,,NO CHARGES,
16831732,2,1,,NO CHARGES,
16831732,2,2,,NO CHARGES,
16831733,1,1,,NO CHARGES,
16831735,1,1,,UNSAFE LANE CHANGE RIGHT,E16782550
16831735,2,1,,NO CHARGES,
16831735,3,1,,NO CHARGES,
16831735,4,1,,NO CHARGES,
16831735,4,2,,NO CHARGES,
16831736,1,1,,DWI,
16831736,2,1,,NO CHARGES,
16831736,2,2,,NO CHARGES,
16831737,1,1,,NO CHARGES,
16831745,1,1,,NO CHARGES,
16831785,1,1,,NO CHARGES,
16831785,1,2,,NO CHARGES,
16831786,1,1,,NO CHARGES,
16831786,2,1,,NO CHARGES,
16831791,1,1,,NO CHARGES,
16831791,2,1,,NO CHARGES,
16831791,2,2,,NO CHARGES,
16831791,2,3,,NO CHARGES,
16831796,1,1,,FTMACD,E196948588
16831796,2,1,,NO CHARGES,
16831796,3,1,,NO CHARGES,
16831799,1,1,,NO CHARGES,
16831800,1,1,,NO CHARGES,
16831800,2,1,,NO CHARGES,
16831801,1,1,,NO DRIVERS LICENSE,E16879062
16831801,1,1,,UNSAFE MOVEMENT RIGHT,E16879062
16831802,1,1,,NO CHARGES,
16831803,1,1,,NO CHARGES,
16831803,1,2,,NO CHARGES,
16831804,1,1,,NO CHARGES,
16831804,1,2,,NO CHARGES,
16831805,1,1,,FAIL TO YIELD ROW-PRIVATE DRIVEWAY,E16989100
16831805,1,1,,AMC NO DRIVERS LICENSE,E16989100
