Crash_ID,Unit_Nbr,Prsn_Nbr,Charge_Cat_ID,Charge,Citation_Nbr
14205930,1,1,,NO CHARGES,
14205930,1,2,,NO CHARGES,
14205961,1,1,,FAIL TO MAINTAIN ASSURED CLEAR DISTANCE,14185811
14205961,2,1,,NO CHARGES,
14205962,1,1,,NO CHARGES,
14205963,1,1,,NO CHARGES,
14205963,2,1,,NO CHARGES,
14205963,2,2,,NO CHARGES,
14205963,2,3,,NO CHARGES,
14205963,2,4,,NO CHARGES,
14205964,1,1,,NO CHARGES,
14205966,1,1,,NO CHARGES,
14205966,1,2,,NO CHARGES,
14206001,1,1,,FTMACD,14101183
14206001,2,1,,NO DL,14101184
14206008,1,1,,FAIL TO CONTROL SPEED,15418119
14206008,2,1,,NO CHARGES,
14206010,1,1,,NO CHARGES,
14206010,1,2,,NO CHARGES,
14206010,2,1,,NO CHARGES,
14206012,1,1,,AUTO THEFT,150020933
14206013,1,1,,NO CHARGES,
14206013,1,2,,NO CHARGES,
14206013,2,1,,NO CHARGES,
14206013,2,2,,NO CHARGES,
14206035,1,1,,NO CHARGES,
14206035,2,1,,NO CHARGES,
14206037,1,1,,FTYROW LEFT TURN FROM PRIVATE DRIVE,14135266
14206037,1,2,,NO CHARGES,
14206037,1,3,,NO CHARGES,
14206037,1,4,,NO CHARGES,
14206037,2,1,,NO CHARGES,
14206037,2,2,,NO CHARGES,
14206038,1,1,,DWI 2ND / POSSESSION CONTROLLED SUBSTANCE HEROIN,150020643
14206038,2,1,,NO CHARGES,
14206038,2,2,,NO CHARGES,
14206039,1,1,,FAIL TO YIELD RIGHT OF WAY - LEFT TURN,14074364
14206039,2,1,,NO CHARGES,
14206039,2,2,,NO CHARGES,
14206039,2,3,,NO CHARGES,
14206040,1,1,,NO CHARGES,
14206040,2,1,,NO CHARGES,
14206052,1,1,,FAILURE TO MAINTAIN ASSURED CLEAR DISTANCE,14122788
14206052,1,1,,EXPIRED DL,14122788
14206052,2,1,,NO CHARGES,
14206052,2,2,,NO CHARGES,
14206052,3,1,,NO CHARGES,
14206053,1,1,,NO CHARGES,
14206053,2,1,,NO CHARGES,
14206053,4,1,,NO CHARGES,
14206054,1,1,,NO CHARGES,
14206055,1,1,,NO CHARGES,
14206055,2,1,,NO CHARGES,
14206056,1,1,,NO CHARGES,
14206078,1,1,,NO CHARGES,
14206079,1,1,,WRONG SIDE OF ROAD- NOT PASSING,15187517
14206079,2,1,,NO CHARGES,
14206079,2,2,,NO CHARGES,
14206079,2,3,,NO CHARGES,
14206079,2,4,,NO CHARGES,
14206080,1,1,,NO CHARGES,
14206080,2,1,,NO CHARGES,
14206085,1,1,,FTMACD,TX48B79DAJAQ
14206085,2,1,,NO CHARGES,
14206098,1,1,,NO CHARGES,
14206099,1,1,,NO CHARGES,
14206099,2,1,,NO CHARGES,
14206099,2,2,,NO CHARGES,
14206110,1,1,,NO CHARGES,
14206110,1,2,,NO CHARGES,
14206110,2,1,,NO CHARGES,
14206176,1,1,,DWI,ARRESTED
14206958,1,1,,NO CHARGES,
14206958,2,1,,NO CHARGES,
14206965,1,1,,NO CHARGES,
14206982,1,1,,NO CHARGES,
14206982,2,1,,NO CHARGES,
14206982,2,2,,NO CHARGES,
14206982,3,1,,FAIL TO MAINTAIN FINANCIAL RESPONSIBILITY,14122555
14206982,3,2,,NO CHARGES,
14206982,4,1,,NO CHARGES,
14206982,4,2,,NO CHARGES,
14206983,1,1,,NO CHARGES,
14206983,2,1,,NO CHARGES,
14207008,1,1,,NO CHARGES,
14207008,2,1,,NO CHARGES,
14207597,1,1,,FTMFR,14183151
14207597,1,1,,UNSAFE MOVEMENT LEFT,14183151
14207597,2,1,,NO CHARGES,
14207797,1,1,,FAIL TO MAINTAIN ASSURED CLEAR DISTANCE,15295519
14207797,2,1,,NO CHARGES,
14207797,2,2,,NO CHARGES,
14207797,3,1,,NO CHARGES,
14207798,1,1,,NO CHARGES,
14207798,2,1,,NO CHARGES,
14207909,1,1,,FAIL TO CONTROL SPEED,TX487G0SFK35
14207909,1,2,,NO CHARGES,
14207909,2,1,,NO CHARGES,
14207960,1,1,,FAILURE TO YIELD RIGHT OF WAY TURNING LEFT,14061634
14207960,2,1,,NO CHARGES,
14207961,1,1,,NO CHARGES,
14207961,2,1,,NO CHARGES,
14207961,3,1,,NO CHARGES,
14207961,3,2,,NO CHARGES,
14207962,1,1,,FAIL TO MAINTAIN ASSURED CLEAR DISTANCE,14098948
14207962,2,1,,NO CHARGES,
14207962,2,2,,NO CHARGES,
14207963,1,1,,"FAIL TO YIELD RIGHT OF WAY, STOP SIGN",14036393
14207963,2,1,,NO CHARGES,
14210475,1,1,,NO CHARGES,
14210717,1,1,,DISREGARD RED LIGHT,TX48880SWCTV
14210717,2,1,,NO CHARGES,
14211440,1,1,,DWI,150010287
14211440,2,1,,NO CHARGES,
14211440,2,2,,NO CHARGES,
14211440,2,3,,NO CHARGES,
14211440,3,1,,NO CHARGES,
14211441,1,1,,DRIVING WHILE LICENSE INVALID,15030829
14211441,1,1,,NO DRIVER'S LICENSE 2ND OFFENSE,15030829
14211493,1,1,,FAILED TO MAINTAIN FINANCIAL RESPONSIBILITY,15295520
14211493,1,1,,FAILED TO MAINTAIN ASSURED CLEAR DISTANCE - COLL,15295520
14211493,1,2,,NO CHARGES,
14211493,1,3,,NO CHARGES,
14211493,1,4,,NO CHARGES,
14211493,2,1,,NO DRIVERS LICENSE,15269013
14211493,2,2,,NO CHARGES,
14211493,2,3,,NO CHARGES,
14211493,2,4,,NO CHARGES,
14211494,1,1,,FAILED MAINTAIN ASSURED CLEAR DISTANCE,15083831
14211494,2,1,,NO CHARGES,
14211497,1,1,,NO DL,14118227
14211497,1,2,,NO CHARGES,
14211497,1,3,,NO CHARGES,
14211505,1,1,,FAILED TO YIELD FROM PRIVATE DRIVE OR ALLEY,15123448
14211505,2,1,,FAILED TO YIELD FROM PRIVATE DRIVE OR ALLEY,15123448
