Crash_ID,Damaged_Property
14205966,TRAFFIC LIGHT POLE
14205966,PRIVATE SIGN
14206001,FRONT ENTRANCE FLOWER BED
14206012,GUARD RAIL
14206038,UTILITY POLE
14206054,"MAILBOX, BARRIER, YARD"
14206054,MAILBOX
14206078,APPROXIMATELY 40 FT GUARD RAIL
14206176,FENCE
14206176,FENCE
14206965,100 FT OF CABLE GUARD RAIL DAMAGE
14210475,"BARBED WIRE FENCE, GATE AT TOLL BOOTH"
14211441,MERGING STREETS SIGN
14211562,TRAFFIC DIRECTION SIGN
14211564,WOODEN FENCE LINE
14211611,CITY CROSS WALK SIGLNAL
14211690,SECURITY KIOSK
14212322,POLE
14212323,UTILITY POLE
14212469,DAMAGE TO TRAFFIC CONTROL POLE #P127S
14215452,FENCE
14217639,TREE
14218332,MAIN PILLAR STRUCK TO PETSMART
14218383,GUARDRAIL DAMAGE AT EXIT 225
14218514,(15 FT 2) YELLOW DIAMOND SHAPE
14218514,LIGHT POLE #233616
14219072,METAL LIGHT POST
14219124,TWO TURN TRAFFIC SIGNS
14219854,BOTH GATES. MILD DAMAGE.
14220084,LIGHT POLE #388876
14222732,GAURD RAIL
14222732,OVER PASS CEMENT POLE
14223393,EXIT SIGN
14223393,GUARDRAIL
14223394,SIGNAL LIGHT
14223411,GUARD RAIL
14223414,30FT GUARDRAIL/DAMAGE
14223484,STOP SIGN / STREET SIGNS
14223486,KOLENDA CHIROPRACTIC
14225476,CURVE WARNING SIGN
14225478,METAL GATE(APARTMENT ENTRANCE)
14225515,BRIDGE
14225860,TREE
14226580,FIRE HYDRANT KNOCKED OFF LOCATION
14226954,BUILDING WOOD BEAM
14227004,CROSSING SIGNAL
14230046,ELECTRIC POLE 382363
14230672,PIPE FENCE
14230727,CONCRETE RETAINING WALL
14230806,LIGHT POLL IN CONSTRUCTION AREA
14231037,STONE WALL
14231192,SIDE YARD
14233359,FENCE
14233424,FENCE AND POST
14233606,POWER POLE #272104
14233641,SUPPORT CABLES FOR ELECTRICAL POLE
14233694,METAL SUPPORT FOR MEDIAN CABLE
14234735,CITY OF AUSTIN SIGN
14234737,SHELL STATION SIGN
14234811,GUARDRAIL DAMAGE. WOOD POST / 30 FT RAIL
14234813,LIGHT POLE #390936 KNOCKED DOWN.
14236942,QUADGUARD ENERGY ABSORB SYSTEM
14237343,CENTER MEDIAN CABLE AND POLE
14237421,UTILITY POLE #357364
14237421,FENCE/GATE
14237611,TRAFFIC LIGHT POLE
14237827,POLE TO GATE
14238032,GUARDRAIL
14240251,GUARDRAIL AT NB TO SB TURNAROUND
14240674,MILE MARKER 231 SIGN KNOCKED DOWN
14240749,YIELD SIGN
14240750,TRAFFIC SIGNAL POLE
14240925,STOP SIGN
14241029,"GUADRAIL, REFLECTOR SIGN"
14241030,GUARDRAIL
14242862,GAURDRAIL
14242939,DIRECTIONAL SIGN
14243326,DAMAGE TO ELECTRICITY POLE
14243488,LIGHT POLE
14245448,A TRAFFIC SIGNAL POLE WAS DAMAGED
14245449,UTILITY POLE #402673
14245450,CONCRETE COLUMN
14245521,GUARDRAIL
14245753,LIGHT POLE #385935
14246471,GUARD RAIL
14246860,WALL AND LANDSCAPING
14248242,40-50 FT OF GUARDRAIL DAMAGED W CURBLINE
14250300,12' TREE
14250300,RETAINING WALL
14251324,CITY OF AUSTIN (2)
14251401,ELECTRIC POLE A1419/379032
14251577,GUARD RAIL DAMAGED
14251702,ELECTRIC POLE
14251731,STREET LIGHT
14251732,GUARDRAIL
14251781,APPROX 40FT GUARD RAIL
14251855,DAMAGED WALL AND WINDOW.
14252004,MAIL BOX DESTROYED
14252007,"BRICK FENCE POST, TREES"
14253582,ROAD SIGN
14253589,CITY LIGHT POLE ON NORTHEAST CORNER
14253623,SIGN POST AT CHEVRON GAS STATION
14253814,FENCE BY BUS STOP
14253817,POWER POLE
14253817,FIRE HYDRANT
14255469,CITY LIGHT POLE #371715
14257584,BUILDING
14257675,ELECTRICITY POLE
14257675,PEDESTRIAN CROSSING SIGN
14257792,10FT OF GUARDRAIL
14258169,METAL RAILING WESTSIDE NB
14258209,GUARD RAIL
14258210,ROAD SIGN
14258232,LANDOWNERS FENCE
14258234,GUARDRAIL
14258269,RAILROAD CROSSING GUARD SWING ARM
14258270,WOODEN MAILBOX
14258275,CITY ORDIANANCE SIGN
14259516,FENCE AND GRASS
14259558,METAL FENCE KNOCKED DOWN
14259559,UTILITY POLE #211830
14259598,POLE # 229516
14260015,POLE 226505 PEDESTRIAN CROSS WALK
14260015,LANDSCAPING AT HYDE PARK AND GRILL REST
14263006,RESIDENCE
14263318,GUARDRAIL
14263396,YELLOW TXDOT HAZARD SIGN
14263781,LIGHT POLE ATTACHED TO LIGHT #25
14263784,ATTENUATOR AT START OF A CONCRETE WALL
14263930,"2 SIGNS, BUSH, AND GRASS"
14264029,POWER POLE
14264029,10 FT CHAIN LINK FENCE
14264033,CONCRETE DIVIDER
14264245,DAMAGED FENCE ON PROPERTY
14265747,SECTION OF GUARD RAIL 512-974-0883
14265808,SEWER LINE
14266231,SECURITY GATE
14266320,CROSS WALK SIGNAL
14266345,HUFFY PINK BICYCLE SN#SNHTC 12564792
14266349,FIRE HYDRANT
14266376,STONE MAILBOX
14266429,10 FT METAL GUARD RAIL
14266494,GUARDRAIL
14267096,STORAGE UNIT WITH DENT FROM TIRE
14268085,POLE 391623
14270738,POWER POLE #240329
14270806,UTILITY POLE #LF12051
14270846,STREET SIGN
14270846,POLE
14270902,PARKING SIGN
14270916,GUARDRAIL AND SUPPORT POSTS
14271485,FENCE
14275215,PEDESTRIAN X-ING LIGHT
14278078,METAL FENCE POST
14279374,CHAIN LINK FENCE APROX 38 FEET
14279396,BRICK COVERED DECORATIVE MAILBOX
14280274,CROSSWALK INDICATOR
14280356,BLACK BICYCLE
14280357,UTILITY POLE #255141
14280406,STREET SIGN
14280406,GUARDRAIL
14280450,STREET SIGN
