Crash_ID,Unit_Nbr,Prsn_Nbr,Charge_Cat_ID,Charge,Citation_Nbr
13059953,1,1,,NO INSURANCE,T747031
13059953,2,1,,NO CHARGES,
13060329,1,1,,NO CHARGES,
13060329,2,1,,NO CHARGES,
13060329,2,2,,NO CHARGES,
13067325,1,1,,RAN RED LIGHT,13847884
13067325,2,1,,NO CHARGES,
13067325,2,2,,NO CHARGES,
13067325,2,3,,NO CHARGES,
13067325,2,4,,NO CHARGES,
13067325,2,5,,NO CHARGES,
13067325,2,6,,NO CHARGES,
13067325,2,7,,NO CHARGES,
13067325,2,8,,NO CHARGES,
13067325,2,9,,NO CHARGES,
13067325,2,10,,NO CHARGES,
13067325,2,11,,NO CHARGES,
13067325,2,12,,NO CHARGES,
13067325,2,13,,NO CHARGES,
13067325,2,14,,NO CHARGES,
13067325,2,15,,NO CHARGES,
13067325,2,16,,NO CHARGES,
13067477,1,1,,DWI,130010908
13067477,2,1,,NO CHARGES,
13067478,1,1,,DWI,130010908
13067478,2,1,,NO CHARGES,
13067479,1,1,,NO CHARGES,
13067479,2,1,,NO CHARGES,
13067481,1,1,,NO CHARGES,
13067483,1,1,,NO CHARGES,
13067485,1,1,,DWI,
13067485,1,2,,NO CHARGES,
13067486,1,1,,NO CHARGES,
13067486,2,1,,NO CHARGES,
13067487,1,1,,NO CHARGES,
13067488,1,1,,NO CHARGES,
13067489,1,1,,DWI,
13067490,1,1,,NO CHARGES,
13067492,1,1,,NO CHARGES,
13067492,1,2,,NO CHARGES,
13067496,1,1,,DRIVING WHILE INTOXICATED,
13067496,1,2,,NO CHARGES,
13067496,1,3,,NO CHARGES,
13067497,1,1,,DRIVING WHILE INTOXICATED,130010917
13067497,2,1,,NO CHARGES,
13067498,1,1,,NO CHARGES,
13067499,1,1,,D.W.I.,130011011
13067500,1,1,,NO CHARGES,
13067500,2,1,,NO CHARGES,
13067500,3,1,,NO CHARGES,
13067501,1,1,,NO CHARGES,
13067502,1,1,,NO CHARGES,
13067536,1,1,,NO CHARGES,
13067538,1,1,,NO CHARGES,
13067547,1,1,,DUTY ON STRIKING FIXTURE/HWY LANDSCAPE>=$200,SO00014294
13067547,1,1,,DRIVING UNDER THE INFLUENCE OF ALCOHOL BY A MINOR,SO00014294
13067547,1,2,,CONSUMPTION OF ALCOHOL BY A MINOR,SO00014293
13067894,1,1,,NO CHARGES,
13070711,1,1,,NO CHARGES,
13070711,1,2,,NO CHARGES,
13072639,1,1,,NO CHARGES,
13072639,2,1,,NO CHARGES,
13072896,1,1,,POSSESSION OF MARIJUANA,13-00841
13072896,1,1,,FAILURE TO STOP AND RENDER AID,13-00834
13072896,1,2,,NO CHARGES,
13072896,2,1,,NO CHARGES,
13079199,1,1,,NO CHARGES,
13079200,1,1,,NO CHARGES,
13079200,2,1,,NO CHARGES,
13079200,2,2,,NO CHARGES,
13079200,2,3,,NO CHARGES,
13079200,2,4,,NO CHARGES,
13079682,1,1,,NO CHARGES,
13079683,1,1,,RAN RED LIGHT,13868982
13079683,2,1,,NO CHARGES,
13079683,3,1,,NO CHARGES,
13079684,1,1,,DWI,130081460
13079685,1,1,,FTM-ASSURED CLR DISTANCE,13660509
13079685,1,1,,FTMFR-NO INSURANCE,13668509
13079685,1,1,,NO D.L.,13660509
13079685,2,1,,NO CHARGES,
13079685,3,1,,NO CHARGES,
13079688,1,1,,NO CHARGES,
13079689,1,1,,RAN RED LIGHT,15010537
13079689,2,1,,NO CHARGES,
13079690,1,1,,NO CHARGES,
13079690,2,1,,NO CHARGES,
13079691,1,1,,NO CHARGES,
13079693,1,1,,NO CHARGES,
13079694,1,1,,FAILE TO DRIVE IN MARKED LANES,15042557
13079695,1,1,,NO CHARGES,
13079695,1,2,,NO CHARGES,
13079698,1,1,,NO CHARGES,
13079699,1,1,,DRIVING WHILE INTOXICATED,13-0050242
13079700,1,1,,DWI,
13079702,1,1,,NO CHARGES,
13079703,1,1,,NO CHARGES,
13079703,2,1,,NO CHARGES,
13079703,3,1,,NO CHARGES,
13079704,1,1,,NO CHARGES,
13079704,2,1,,NO CHARGES,
13079705,1,1,,FAILURE TO MAINTAIN ASSURED CLEAR DISTANCE,130010761/138394
13079705,1,2,,NO CHARGES,
13079705,1,3,,NO CHARGES,
13079705,2,1,,NO CHARGES,
13079705,2,2,,NO CHARGES,
13079705,2,3,,NO CHARGES,
13079707,1,1,,NO CHARGES,
13079707,2,1,,NO CHARGES,
13079707,2,2,,NO CHARGES,
13079708,1,1,,NO CHARGES,
13079708,2,1,,NO CHARGES,
13079709,1,1,,NO CHARGES,
13079709,1,2,,NO CHARGES,
13079709,2,1,,NO CHARGES,
13079710,1,1,,NO CHARGES,
13079710,1,2,,NO CHARGES,
13079710,2,1,,NO CHARGES,
13079710,2,2,,NO CHARGES,
13079711,1,1,,FAILURE TO MAINTAIN FINANCIAL RESPONSIBILITY,13874623
13079711,2,1,,NO CHARGES,
13079712,1,1,,NO CHARGES,
13079712,2,1,,NO CHARGES,
13079712,3,1,,NO CHARGES,
13079713,1,1,,FAIL TO MAINTAIN A SURE CLEAR DIST,13847970
13079713,1,1,,NO DL,13847970
13079713,2,1,,NO CHARGES,
13079714,1,1,,NO CHARGES,
13079714,1,2,,NO CHARGES,
13079714,2,1,,NO CHARGES,
13079714,2,2,,NO CHARGES,
13079715,1,1,,NO CHARGES,
13079716,1,1,,FAILURE TO YIELD RIGHT OF WAY LEFT TURN,13868784
13079716,2,1,,NO CHARGES,
13079717,1,1,,FAILURE TO MAINTAIN AN ASSURED CLEAR DISTANCE,13909130
13079717,2,1,,NO CHARGES,
13079718,1,1,,UNSAFE MOVEMENT,13907235
13079718,2,1,,NO CHARGES,
13079719,1,1,,NO CHARGES,
13079719,2,1,,NO CHARGES,
13079719,2,2,,NO CHARGES,
13079720,1,1,,NO CHARGES,
13079720,2,1,,NO CHARGES,
13079720,2,2,,NO CHARGES,
13079721,1,1,,NO DL,13913908
13079721,1,1,,FTYROW-LEFT TURN,13913908
13079721,2,1,,NO CHARGES,
13079721,2,2,,NO CHARGES,
13079723,1,1,,NO CHARGES,
13079723,2,1,,NO CHARGES,
13079723,2,2,,NO CHARGES,
13079725,1,1,,NO DL,13868386
13079725,2,1,,NO CHARGES,
13079725,3,1,,NO CHARGES,
13079728,1,1,,NO CHARGES,
13079728,2,1,,NO CHARGES,
13079729,1,1,,NO CHARGES,
13079729,2,1,,NO CHARGES,
13079729,3,1,,NO CHARGES,
13079730,1,1,,FAILURE TO MAINTAIN ASSURED CLEAR DISTANCE,13910689
13079730,2,1,,NO CHARGES,
13079730,3,1,,NO CHARGES,
13079730,4,1,,NO CHARGES,
13079731,1,1,,UNSAFE UTURN,13924227
13079731,1,2,,NO CHARGES,
13079731,2,1,,NO DRIVERS LICENSE,13867149
13079732,1,1,,FAIL TO MAINTAIN ASSURED CLEAR DISTANCE,13907617
13079732,2,1,,NO CHARGES,
13079733,1,1,,NO CHARGES,
13079734,1,1,,FAIL TO MAINTAIN ASSURED CLEAR DISTANCE,13866558
13079734,1,1,,NO DL,13866558
13079734,1,2,,NO CHARGES,
13079734,2,1,,NO CHARGES,
13079735,1,1,,FAILED TO MAINTAIN ASSURED CLEAR DIST,13869189
13079735,1,1,,NO INS,13869189
13079735,2,1,,NO CHARGES,
13079736,1,1,,NO CHARGES,
13079736,2,1,,NO D.L,13913605
13079736,2,2,,NO CHARGES,
13079737,1,1,,FAIL TO MAINTAIN FINANCIAL RESPONSIBILITY,13867210
13079738,1,1,,NO CHARGES,
13079739,1,1,,NO CHARGES,
13079740,1,1,,DWI,
13079740,1,2,,NO CHARGES,
13079740,2,1,,NO CHARGES,
13079740,2,2,,NO CHARGES,
13079741,1,1,,NO CHARGES,
13079741,2,1,,NO CHARGES,
13079742,1,1,,RAN RED LIGHT/RAN STOP SIGN,13910890
13079742,1,1,,NO D.L.,13910890
13079742,1,2,,NO CHARGES,
13079742,2,1,,NO CHARGES,
13079742,2,2,,NO CHARGES,
13079742,2,3,,NO CHARGES,
13079742,2,4,,NO CHARGES,
13079743,1,1,,NO DRIVER'S LICENSE,13910825
13079743,1,1,,FTMACD (FAIL TO MAINTAIN ASSURED CLEAR DISTANCE),13910825
13079743,2,1,,NO CHARGES,
13079744,1,1,,NO CHARGES,
13079744,1,2,,NO CHARGES,
13079744,1,3,,NO CHARGES,
13079744,1,4,,NO CHARGES,
13079744,2,1,,NO CHARGES,
13079744,2,2,,NO CHARGES,
13079745,1,1,,NO CHARGES,
13079745,2,1,,NO CHARGES,
13079747,1,1,,NO CHARGES,
13079747,1,2,,NO CHARGES,
13079747,2,1,,NO CHARGES,
13079747,2,2,,NO CHARGES,
13079748,1,1,,DISREGARD POSTED SIGN LEFT TURN,13879179
13079748,1,2,,NO CHARGES,
13079748,2,1,,NO CHARGES,
13079749,1,1,,NO CHARGES,
13079750,1,1,,NO CHARGES,
13079750,2,1,,NO CHARGES,
13079751,1,1,,FTMFR,13864818
13079751,1,1,,FAILURE TO CONTROL SPEED,13864818
13079751,1,2,,NO CHARGES,
13079751,2,1,,FTMFR,13847010
13079751,2,1,,UNRESTRAINED CHILD UNDER 8,13847010
13079751,2,2,,NO CHARGES,
13079752,1,1,,NO CHARGES,
13079752,1,2,,NO CHARGES,
13079752,2,1,,NO CHARGES,
13079752,2,2,,NO CHARGES,
13079753,1,1,,NO CHARGES,
13079753,2,1,,NO CHARGES,
13079753,3,1,,NO CHARGES,
13079753,4,1,,NO CHARGES,
13079754,1,1,,NO CHARGES,
13079754,2,1,,NO CHARGES,
13079755,1,1,,NO CHARGES,
13079755,2,1,,NO CHARGES,
13079755,2,2,,NO CHARGES,
13079755,2,3,,NO CHARGES,
13079755,3,1,,NO CHARGES,
13079756,1,1,,DWI,130051863
13079757,1,1,,NO CHARGES,
13079758,1,1,,NO DRIVER LICENSE,13868026
13079758,1,2,,NO CHARGES,
13079758,1,3,,NO CHARGES,
13079758,2,1,,NO CHARGES,
13079760,1,1,,FTMACD,13924352
13079760,2,1,,NO CHARGES,
13079760,2,2,,NO CHARGES,
13079760,2,3,,NO CHARGES,
13079761,1,1,,NO CHARGES,
13079761,1,2,,NO CHARGES,
13079762,1,1,,NO CHARGES,
13079762,1,2,,NO CHARGES,
13079762,2,1,,NO CHARGES,
13079762,2,2,,NO CHARGES,
13079762,2,3,,NO CHARGES,
13079762,2,4,,NO CHARGES,
13079763,1,1,,RAN RED LIGHT,13909083
13079763,2,1,,NO CHARGES,
13079764,1,1,,NO DL,13859299
13079765,1,1,,FAILURE TO MAINTAIN ASSURE CLEAR DISTANCE,13864628
13079765,2,1,,NO CHARGES,
13079765,2,2,,NO CHARGES,
13079765,3,1,,NO CHARGES,
13079766,1,1,,FAIL TO MAINTAIN ASSURED CLEAR DISTANCE,13846869
13079766,2,1,,NO CHARGES,
13079766,3,1,,NO DRIVERS LICENSE,13846868
13079767,1,1,,DWI,
13079767,2,1,,NO CHARGES,
13079768,1,1,,NO CHARGES,
13079768,2,1,,NO CHARGES,
13079768,3,1,,NO CHARGES,
13079769,1,1,,FTYROW PRIVATE DRIVE,15039033
13079769,2,1,,NO CHARGES,
13079770,1,1,,NO CHARGES,
13079771,1,1,,NO CHARGES,
13079771,2,1,,NO CHARGES,
13079772,1,1,,RAN RED LIGHT,13852400
13079772,2,1,,NO CHARGES,
13079773,1,1,,FAILED TO DRIVE IN MARKED LANE(S),15039030
13079774,1,1,,RAN RED LIGHT,13864205
13079774,2,1,,NO CHARGES,
13079775,1,1,,NO CHARGES,
13079775,1,2,,NO CHARGES,
13079775,2,1,,NO CHARGES,
13079776,1,1,,FAIL TO MAINTAIN ASSURED CLEAR DISTANCE,13768912
13079776,1,1,,EXP. REGISTRATION,13768912
13079776,1,1,,FAIL TO MAINTAIN FINANCIAL RESPONSIBILITY,13768912
13079776,2,1,,NO CHARGES,
