Crash_ID,Unit_Nbr,Prsn_Nbr,Charge_Cat_ID,Charge,Citation_Nbr
12484284,1,1,,NO CHARGES,
12484284,2,1,,NO CHARGES,
12484286,1,1,,NO CHARGES,
12484286,2,1,,NO CHARGES,
12484286,2,2,,NO CHARGES,
12484286,2,3,,NO CHARGES,
12484286,2,4,,NO CHARGES,
12484286,3,1,,NO CHARGES,
12484286,3,2,,NO CHARGES,
12484289,1,1,,RAN RED LIGHT,13787079
12484289,1,2,,NO CHARGES,
12484289,1,3,,NO CHARGES,
12484289,1,4,,NO CHARGES,
12484289,2,1,,NO CHARGES,
12484289,2,2,,NO CHARGES,
12484291,1,1,,NO CHARGES,
12484291,1,2,,NO CHARGES,
12484294,1,1,,NO CHARGES,
12484295,1,1,,FAIL TO KEEP ASSURED CLEAR DISTANCE,13782664
12484295,2,1,,NO CHARGES,
12484295,2,2,,NO CHARGES,
12484296,1,1,,FOLLOW TOO CLOSE,13703094
12484296,2,1,,NO CHARGES,
12484296,3,1,,NO CHARGES,
12484296,3,2,,NO CHARGES,
12484296,3,3,,NO CHARGES,
12484296,4,1,,NO CHARGES,
12484297,1,1,,NO CHARGES,
12484297,1,2,,NO CHARGES,
12484297,1,3,,NO CHARGES,
12484297,2,1,,NO CHARGES,
12484298,1,1,,NO CHARGES,
12484298,2,1,,NO CHARGES,
12484298,2,2,,NO CHARGES,
12484299,1,1,,NO CHARGES,
12484299,1,2,,NO CHARGES,
12484299,1,3,,NO CHARGES,
12484299,1,4,,NO CHARGES,
12484299,1,5,,NO CHARGES,
12484299,1,6,,NO CHARGES,
12484299,2,1,,NO CHARGES,
12484300,1,1,,FAILURE TO MAINTAIN ASSURED CLEAR DISTANCE,13731374
12484300,2,1,,NO CHARGES,
12484301,1,1,,NO CHARGES,
12484302,1,1,,NO CHARGES,
12484302,1,2,,NO CHARGES,
12484303,1,1,,NO CHARGES,
12484304,1,1,,NO CHARGES,
12484304,2,1,,NO CHARGES,
12484304,2,2,,NO CHARGES,
12484304,2,3,,NO CHARGES,
12484304,3,1,,NO CHARGES,
12484305,1,1,,DRIVING WHILE INTOXICATED,
12484305,1,2,,NO CHARGES,
12484306,1,1,,NO CHARGES,
12484306,1,2,,NO CHARGES,
12484306,2,1,,NO CHARGES,
12485185,1,1,,RAN RED LIGHT,13762361
12485185,2,1,,NO CHARGES,
12485186,1,1,,NO CHARGES,
12485186,2,1,,NO CHARGES,
12485186,2,2,,NO CHARGES,
12485188,1,1,,FAIL TO MAINTAIN ASSURED CLEAR DISTANCE,13760402
12485188,2,1,,NO CHARGES,
12485189,1,1,,FAIL TO CONTROL SPEED,13762811
12485189,2,1,,NO CHARGES,
12485190,1,1,,NO CHARGES,
12485193,1,1,,NO CHARGES,
12485195,1,1,,NO CHARGES,
12485196,1,1,,NO CHARGES,
12485196,2,1,,NO CHARGES,
12485197,1,1,,NO CHARGES,
12485198,1,1,,NO CHARGES,
12485199,1,1,,RAN RED LIGHT,13752134
12485199,1,2,,NO CHARGES,
12485199,2,1,,NO CHARGES,
12485202,1,1,,NO CHARGES,
12485202,2,1,,NO CHARGES,
12485203,1,1,,NO CHARGES,
12485203,2,1,,NO CHARGES,
12485203,3,1,,NO CHARGES,
12485204,1,1,,NO CHARGES,
12485204,2,1,,NO CHARGES,
12485206,1,1,,RAN STOP SIGN,13722788
12485206,2,1,,NO CHARGES,
12485207,1,1,,NO CHARGES,
12485207,2,1,,NO CHARGES,
12485211,1,1,,NO CHARGES,
12485211,2,1,,NO CHARGES,
12485211,2,2,,NO CHARGES,
12485211,3,1,,NO CHARGES,
12485212,1,1,,NO CHARGES,
12485212,2,1,,NO CHARGES,
12485214,1,1,,FTYROW-LEFT TURN,13719967
12485214,1,2,,NO CHARGES,
12485214,2,1,,NO CHARGES,
12485217,1,1,,NO CHARGES,
12485217,1,2,,NO CHARGES,
12485217,2,1,,NO CHARGES,
12485218,1,1,,DWI,
12485218,1,1,,LEAVING THE SCENE COLLISION,
12485218,1,2,,NO CHARGES,
12485219,1,1,,FAIL TO MAINTAIN ASSURED CLR DISTANCE,13786820
12485219,2,1,,NO CHARGES,
12485221,1,1,,NO CHARGES,
12485221,2,1,,NO CHARGES,
12485221,3,1,,NO CHARGES,
12485221,3,2,,NO CHARGES,
12485221,3,3,,NO CHARGES,
12485221,3,4,,NO CHARGES,
12485221,4,1,,NO CHARGES,
12485221,5,1,,NO CHARGES,
12485221,5,2,,NO CHARGES,
12485222,1,1,,NO CHARGES,
12485222,2,1,,NO CHARGES,
12485222,2,2,,NO CHARGES,
12485223,1,1,,NO CHARGES,
12485223,1,2,,NO CHARGES,
12485223,2,1,,NO CHARGES,
12485223,2,2,,NO CHARGES,
12485224,1,1,,DWI,
12485224,1,2,,NO CHARGES,
12485226,1,1,,FTSPFR (NO INSURANCE),13718527
12485226,1,1,,DRIVING WITH SUSPENDED DL,13718527
12485226,2,1,,NO CHARGES,
12485226,2,2,,NO CHARGES,
12485227,1,1,,FAILED TO MAINTAIN ASSURED CLEAR DISTANCE,13762770
12485227,2,1,,NO CHARGES,
12485228,1,1,,NO CHARGES,
12485228,2,1,,FAIL TO MAINTAIN ASSURE CLEAR DISTANCE,13722389
12485228,2,2,,NO CHARGES,
12485229,1,1,,UNSAFE MOVEMENT LEFT,13760569
12485229,2,1,,NO CHARGES,
12485232,1,1,,FAIL TO YIELD R.O.W POSTED SIGN-YIELD-U TURN,12507921
12485232,1,2,,NO CHARGES,
12485232,2,1,,NO CHARGES,
12485232,2,2,,NO CHARGES,
12485232,2,3,,NO CHARGES,
12485232,2,4,,NO CHARGES,
12485233,1,1,,RAN RED LIGHT,13734564
12485233,2,1,,FTMFR,13734563
12485237,1,1,,RAN RED LIGHT,13318095
12485237,2,1,,NO CHARGES,
12485239,1,1,,NO CHARGES,
12485239,2,1,,NO CHARGES,
12485240,1,1,,NO CHARGES,
12485240,2,1,,NO CHARGES,
12485240,2,2,,NO CHARGES,
12485243,1,1,,FAIL TO MAINTAIN ASSURED CLEAR DISTANCE,13743558
12485243,2,1,,NO CHARGES,
12485243,3,1,,NO CHARGES,
12485244,1,1,,NO CHARGES,
12485244,2,1,,NO CHARGES,
12485245,1,1,,NO CHARGES,
12485245,1,2,,NO CHARGES,
12485246,1,1,,NO CHARGES,
12485247,1,1,,NO CHARGES,
12485247,1,2,,NO CHARGES,
12485247,1,3,,NO CHARGES,
12485247,2,1,,NO CHARGES,
12485247,2,2,,NO CHARGES,
